"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020"
4,"AFG","Afghanistan",57.5452,57.5452,57.5452,57.5452,57.5452,57.5452,57.5452,57.5452,57.5452,57.5452,57.5452,57.58406,57.62292,57.66178,57.70064,57.7395,57.72398,57.70846,57.69294,57.67742,57.6619,57.6619,57.6619,57.6619,57.6619,57.6619
8,"ALB","Albania",39.1044,39.1044,39.1044,39.1044,39.1044,39.1044,39.1044,39.1044,39.1044,39.1044,39.1044,39.32924,39.55408,39.77892,40.00376,40.2286,40.11284,39.99708,39.88132,39.76556,39.6498,39.6498,39.6498,39.6498,39.6498,39.6498
12,"DZA","Algeria",75.4039,75.4039,75.4039,75.4039,75.4039,75.4039,75.4039,75.4039,75.4039,75.4039,75.4039,75.38232,75.36074,75.33916,75.31758,75.296,75.31416,75.33232,75.35048,75.36864,75.3868,75.3868,75.3868,75.3868,75.3868,75.3868
20,"AND","Andorra",56.0573,56.0573,56.0573,56.0573,56.0573,56.0573,56.0573,56.0573,56.0573,56.0573,56.0573,56.04068,56.02406,56.00744,55.99082,55.9742,56.0422,56.1102,56.1782,56.2462,56.3142,56.3142,56.3142,56.3142,56.3142,56.3142
24,"AGO","Angola",67.4155,67.4155,67.4155,67.4155,67.4155,67.4155,67.4155,67.4155,67.4155,67.4155,67.4155,67.3811,67.3467,67.3123,67.2779,67.2435,67.2435,67.2435,67.2435,67.2435,67.2435,67.2435,67.2435,67.2435,67.2435,67.2435
660,"AIA","Anguilla",28.753,28.753,28.753,28.753,28.753,28.753,28.753,28.753,28.753,28.753,28.753,28.67632,28.59964,28.52296,28.44628,28.3696,28.17354,27.97748,27.78142,27.58536,27.3893,27.3893,27.3893,27.3893,27.3893,27.3893
28,"ATG","Antigua and Barbuda",35.881,35.881,35.881,35.881,35.881,35.881,35.881,35.881,35.881,35.881,35.881,35.73532,35.58964,35.44396,35.29828,35.1526,34.92074,34.68888,34.45702,34.22516,33.9933,33.9933,33.9933,33.9933,33.9933,33.9933
32,"ARG","Argentina",57.7564,57.7564,57.7564,57.7564,57.7564,57.7564,57.7564,57.7564,57.7564,57.7564,57.7564,57.98256,58.20872,58.43488,58.66104,58.8872,58.89658,58.90596,58.91534,58.92472,58.9341,58.9341,58.9341,58.9341,58.9341,58.9341
51,"ARM","Armenia",48.7247,48.7247,48.7247,48.7247,48.7247,48.7247,48.7247,48.7247,48.7247,48.7247,48.7247,48.67104,48.61738,48.56372,48.51006,48.4564,48.35982,48.26324,48.16666,48.07008,47.9735,47.9735,47.9735,47.9735,47.9735,47.9735
533,"ABW","Aruba",40.4203,40.4203,40.4203,40.4203,40.4203,40.4203,40.4203,40.4203,40.4203,40.4203,40.4203,40.27724,40.13418,39.99112,39.84806,39.705,39.74618,39.78736,39.82854,39.86972,39.9109,39.9109,39.9109,39.9109,39.9109,39.9109
