"code","iso","country","CDA.ind.1995","CDA.ind.1996","CDA.ind.1997","CDA.ind.1998","CDA.ind.1999","CDA.ind.2000","CDA.ind.2001","CDA.ind.2002","CDA.ind.2003","CDA.ind.2004","CDA.ind.2005","CDA.ind.2006","CDA.ind.2007","CDA.ind.2008","CDA.ind.2009","CDA.ind.2010","CDA.ind.2011","CDA.ind.2012","CDA.ind.2013","CDA.ind.2014","CDA.ind.2015","CDA.ind.2016","CDA.ind.2017","CDA.ind.2018","CDA.ind.2019","CDA.ind.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",100,100,100,100,100,74.923269179682,39.2351494106637,18.9686549181479,1.23042943205841,0,0,0,17.8835144771664,35.8742828612523,40.7938167116535,46.3301440689582,46.4940002122025,45.2985916346799,41.6208191038302,36.2217211593272,34.8950889226185,37.1695866487158,41.1740797707465,41.1740797707465,41.1740797707465,41.1740797707465
12,"DZA","Algeria",40.8364337027657,40.8364337027657,40.8364337027657,40.8364337027657,40.8364337027657,45.9124533431603,51.8716519831484,55.6652344987577,58.9937876093405,63.7930626155483,56.1784740033552,52.3518997598325,50.2251674875463,41.5261289308517,35.7407795538111,34.0855338764756,35.6322718216524,35.1288638772675,35.4983059741365,37.2763724862551,33.910971601414,35.3558047990752,36.5915383776636,36.5915383776636,36.5915383776636,36.5915383776636
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",12.8880074332545,12.8880074332545,12.8880074332545,12.8880074332545,12.8880074332545,11.7070095122415,14.7534663257419,12.9024808507618,24.4708225877605,30.9758639839922,6.82860943740768,0,0,0,0,0,0,0,18.341147350856,21.5783643699379,26.6688485227415,29.3352238954525,30.3248185324945,30.3248185324945,30.3248185324945,30.3248185324945
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",44.4839272584283,44.4839272584283,44.4839272584283,44.4839272584283,44.4839272584283,40.0055162494277,38.3938419514092,37.0669643342336,34.5483532833208,33.5894368919781,34.0758926125239,34.2637491721697,33.7027243579971,33.8935811292758,33.7944221616767,34.1049815430003,37.2960102314165,40.1845818061394,42.3085490001212,43.8070161404639,45.6655184981472,47.1406291326746,48.3715596068909,48.3715596068909,48.3715596068909,48.3715596068909
32,"ARG","Argentina",40.4852705567226,40.4852705567226,40.4852705567226,40.4852705567226,40.4852705567226,41.3229788120538,44.3552994915106,48.6888373091716,51.9321797766992,50.3091561355385,48.1687457394907,43.1493875933466,39.2688159295433,34.4764343496437,31.7184305689547,30.2661825963955,32.1540755841757,38.9913456450461,45.3074007808915,46.147750897507,47.2607869729658,47.0916440222848,48.2331729453844,48.2331729453844,48.2331729453844,48.2331729453844
51,"ARM","Armenia",72.7265609745007,72.7265609745007,72.7265609745007,72.7265609745007,72.7265609745007,69.560274895459,62.997472782024,43.8706655059192,47.1362227143704,48.2964431433877,37.7408698723939,39.0249455403439,30.5475106007672,20.7772607364014,26.5032176557803,30.2569240054983,30.2505702214715,33.2898265418001,37.6823128529352,42.5247281335248,40.8817368593298,41.5364186354608,39.285178583351,39.285178583351,39.285178583351,39.285178583351
533,"ABW","Aruba",48.2046930368007,48.2046930368007,48.2046930368007,48.2046930368007,48.2046930368007,37.8284905567981,28.5991216906422,26.9216833383573,23.6908190257875,22.756854306642,22.7729100742589,25.7461721174633,29.6708139410695,37.5059045372742,48.0789478707919,52.2821000530775,56.4964060212379,67.1678525034439,84.0737435378796,98.6710342792409,100,100,100,100,100,100
