"code","iso","country","CHA.ind.1995","CHA.ind.1996","CHA.ind.1997","CHA.ind.1998","CHA.ind.1999","CHA.ind.2000","CHA.ind.2001","CHA.ind.2002","CHA.ind.2003","CHA.ind.2004","CHA.ind.2005","CHA.ind.2006","CHA.ind.2007","CHA.ind.2008","CHA.ind.2009","CHA.ind.2010","CHA.ind.2011","CHA.ind.2012","CHA.ind.2013","CHA.ind.2014","CHA.ind.2015","CHA.ind.2016","CHA.ind.2017","CHA.ind.2018","CHA.ind.2019","CHA.ind.2020"
4,"AFG","Afghanistan",19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,19.6031965306423,17.5486200571527,18.0219299791724,22.702470259561,33.8557615200168,48.3901817600637,66.0929848929973,66.0929848929973,66.0929848929973,66.0929848929973
8,"ALB","Albania",73.072519601752,73.072519601752,73.072519601752,73.072519601752,73.072519601752,76.7606690568721,85.603156028424,100,100,100,100,99.959780685506,100,100,100,100,100,100,100,100,100,85.1432625056923,79.1540520719646,79.1540520719646,79.1540520719646,79.1540520719646
12,"DZA","Algeria",98.6365335024426,98.6365335024426,98.6365335024426,98.6365335024426,98.6365335024426,100,100,100,100,100,100,100,96.3067537960112,83.6569540110617,83.6151995232462,79.3467864705911,87.7233770096245,100,100,100,100,100,100,100,100,100
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",70.7298750010929,70.7298750010929,70.7298750010929,70.7298750010929,70.7298750010929,90.4489513149688,100,100,100,100,100,100,100,100,93.8549753992462,86.4644774397236,82.06179571664,80.4255470881324,82.7307357877369,87.4398358181457,86.9497593191851,100,100,100,100,100
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",80.5756366531458,80.5756366531458,80.5756366531458,80.5756366531458,80.5756366531458,79.3499542698624,75.6654609387669,72.4694320591964,69.7622920219024,66.1308417149185,60.0209144842725,58.1723112163964,61.1985842973831,69.2468194618419,78.7751680588165,100,100,100,100,100,96.0290506571158,97.1845478180756,100,100,100,100
32,"ARG","Argentina",100,100,100,100,100,100,100,100,100,83.9402095848379,74.2957462127473,59.0659460337313,53.9729263545951,57.80844469845,66.7663530207778,83.1300876176184,100,100,100,100,100,100,88.0558074289858,88.0558074289858,88.0558074289858,88.0558074289858
51,"ARM","Armenia",89.8334007670372,89.8334007670372,89.8334007670372,89.8334007670372,89.8334007670372,95.6806050474551,100,83.9949464486597,77.8646336507925,67.4156875937866,60.8835339470466,52.180802541513,44.2102586814109,43.1013316682912,47.7233535647141,55.7618401553072,66.0567916738744,71.49829437803,70.5898193951392,67.3045186109907,62.8024270860523,56.4619213308007,54.7314636321617,54.7314636321617,54.7314636321617,54.7314636321617
533,"ABW","Aruba",52.2502993847251,52.2502993847251,52.2502993847251,52.2502993847251,52.2502993847251,41.7508964196465,39.6809437626167,37.806155298117,34.7538810899457,28.6484665829769,22.848808506287,32.3008237702261,42.7408625891512,51.2351473864869,62.9508664175989,64.7622818388198,65.6539580518105,68.5706683064025,65.617778221205,63.7547111636308,62.4314866974311,60.9572050901408,58.5215020168521,58.5215020168521,58.5215020168521,58.5215020168521
36,"AUS","Australia",99.6668896812155,99.6668896812155,99.6668896812155,99.6668896812155,99.6668896812155,80.0909544985569,56.9431150497735,43.6893766289082,58.699161834954,58.9119031412698,74.0461839861556,82.5829636714599,99.2615858949979,100,100,100,95.0142316996327,57.2371661751288,75.5942785632517,71.2853143519463,82.7145727156407,92.0518782719816,85.8318591463171,85.8318591463171,85.8318591463171,85.8318591463171
40,"AUT","Austria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",86.9834080145695,86.9834080145695,86.9834080145695,86.9834080145695,86.9834080145695,88.3972265184984,91.147802521448,47.3730635310599,39.3979823977792,37.5836648766939,31.6600674509041,24.1628370085684,7.89149180042031,0,0,0,0,0,0,0,12.9792873146442,33.4378923783517,43.8133589795206,43.8133589795206,43.8133589795206,43.8133589795206
44,"BHS","Bahamas",51.8731389993778,51.8731389993778,51.8731389993778,51.8731389993778,51.8731389993778,49.9606477447319,50.7477917202493,54.8013879506421,59.3520552644336,59.8898643762457,60.4253687914649,56.2909572497196,53.5856986098995,49.6065524879927,51.7387030369981,58.0605904364617,55.2958378703043,56.4308175350495,58.3762504748283,58.2703719048294,59.2068803707065,58.3022668712919,56.9115767156953,56.9115767156953,56.9115767156953,56.9115767156953
48,"BHR","Bahrain",33.9917289405606,33.9917289405606,33.9917289405606,33.9917289405606,33.9917289405606,29.1149830432552,35.5796825135771,35.8920898209346,33.5892703129953,19.4175610889984,4.13588397159859,0,0,0,0,0,0,4.69303514115147,22.6208464586466,28.3634023293541,28.6976381144352,27.9281854958121,27.1456065381186,27.1456065381186,27.1456065381186,27.1456065381186
50,"BGD","Bangladesh",66.6306283018602,66.6306283018602,66.6306283018602,66.6306283018602,66.6306283018602,64.6233645465262,63.8874438256149,62.1523144383946,61.3256695630483,61.4512084676327,59.9808012723288,59.289372252463,59.1652909708244,58.4299124630525,55.9972083806388,53.8434605401834,52.9471463958438,52.5349019600031,52.8825866375393,55.7223314023218,58.2166688201643,62.0126188382302,65.0146164576437,65.0146164576437,65.0146164576437,65.0146164576437
52,"BRB","Barbados",100,100,100,100,100,98.4284604712707,99.2492004406915,100,100,100,100,100,100,100,100,83.9361057540558,69.8031356151437,60.7197104850824,55.4311121115224,53.1255098931217,54.2145895939375,60.9920107614376,63.0038138993945,63.0038138993945,63.0038138993945,63.0038138993945
112,"BLR","Belarus",92.9514329617945,92.9514329617945,92.9514329617945,92.9514329617945,92.9514329617945,100,100,100,100,90.3004944039531,80.8690655312516,69.8506878507686,61.3508041942327,52.806099013842,42.6457590981335,38.6816746550108,38.5101453546843,43.1931472927662,41.407274986361,41.438577895897,44.45999800369,48.8833261424952,54.7858375075019,54.7858375075019,54.7858375075019,54.7858375075019
56,"BEL","Belgium",94.5767753429029,94.5767753429029,94.5767753429029,94.5767753429029,94.5767753429029,96.4881538058252,98.8918725333407,100,100,96.2632216357785,87.8582681914821,85.9274700404756,86.0021683356204,87.1548982548505,83.4987064370088,83.1857459695792,83.9570863247638,88.4344235236599,96.2873083820177,97.1481996059453,100,100,100,100,100,100
84,"BLZ","Belize",89.6381386221537,89.6381386221537,89.6381386221537,89.6381386221537,89.6381386221537,81.7468885018697,70.8581627492404,48.0235598094873,32.6387595642434,22.4360655399162,31.4172840184856,38.4168139385024,36.0753233110571,31.8903265251793,22.836971731139,21.3091877278929,10.7846252074787,8.32893498649372,0.262000429548593,16.6378037088808,33.5725266535416,43.3416257937436,46.5115227320449,46.5115227320449,46.5115227320449,46.5115227320449
204,"BEN","Benin",45.5627998569642,45.5627998569642,45.5627998569642,45.5627998569642,45.5627998569642,43.7867888516115,44.928125967204,39.313831146947,39.6083838956075,40.4463699787146,37.4545599197254,39.8290481434778,40.6691622964039,43.825520111098,48.4512782437318,48.4918281804265,51.2813436339166,48.576013770387,49.6103035117015,56.2443131434912,53.1474569894518,50.7685311094924,44.5431824661106,44.5431824661106,44.5431824661106,44.5431824661106
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",43.9947178837757,43.9947178837757,43.9947178837757,43.9947178837757,43.9947178837757,44.0456596131126,50.7571689582901,60.39723578584,72.5012548926337,88.660286029625,82.8975238782426,75.6539945849051,68.4896720024902,71.0641113545777,66.2597584550075,62.5930443930255,64.4556518229759,69.4012476962548,73.4743242571096,81.7854896292367,83.2562907669594,84.0028824484233,80.0395108639046,80.0395108639046,80.0395108639046,80.0395108639046
68,"BOL","Bolivia",100,100,100,100,100,100,100,100,100,69.0673478856476,54.0552366018265,45.0100226188336,27.7112528326454,23.6646966600854,24.6078968826092,22.7038358070632,32.2005198834435,35.5839103163524,44.4822421249708,47.5394005177606,47.4016954908263,48.0041230882511,48.5613204883386,48.5613204883386,48.5613204883386,48.5613204883386
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,13.4019359460436,15.3393737371857,8.67218516783474,7.90159269054185,11.3593341787986,18.3726456690847,34.6784639010863,46.8671358090679,68.2548661274768,72.5004936735806,69.6164611515889,69.4753370793666,69.4753370793666,69.4753370793666,69.4753370793666
72,"BWA","Botswana",79.4532904710225,79.4532904710225,79.4532904710225,79.4532904710225,79.4532904710225,80.3200058997733,61.558042965924,48.128340913386,100,100,100,100,100,84.5263517475042,99.9298038152873,26.247698402254,0,0,0,62.5705717488997,100,100,100,100,100,100
76,"BRA","Brazil",66.1335292005696,66.1335292005696,66.1335292005696,66.1335292005696,66.1335292005696,66.7507415316977,64.3811952768114,59.0465400310517,52.297017358785,42.8957938216354,35.3241942584659,35.8021326069199,38.7799975256652,43.8655550835746,51.4133254577923,57.1868703648874,64.599667524261,70.0767023795041,71.1800837937782,68.6248315434488,65.9892821595557,64.9993053965994,66.1839612472125,66.1839612472125,66.1839612472125,66.1839612472125
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",64.5012016107441,64.5012016107441,64.5012016107441,64.5012016107441,64.5012016107441,72.747609029856,58.1842570465871,50.1051534238747,48.2594715226528,51.8375186306671,57.2569718078478,52.0056201606277,53.5658858713377,45.7031671091885,52.1941226353571,62.1727622902899,63.3408572091522,74.1266234360605,70.4484623501196,73.8680183880912,81.7215516539044,76.8926085727733,75.6792911086753,75.6792911086753,75.6792911086753,75.6792911086753
100,"BGR","Bulgaria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",43.8169251373686,43.8169251373686,43.8169251373686,43.8169251373686,43.8169251373686,44.2582702963485,45.4241377373786,44.8070942367078,33.372196209656,20.5106158437405,7.31029307212465,0.505832573043676,0,0,0,0,6.56335206651602,22.7063626168096,29.0460392806129,33.0227038009952,34.5090836107446,37.1082577850508,37.2464011284225,37.2464011284225,37.2464011284225,37.2464011284225
108,"BDI","Burundi",74.5399422818547,74.5399422818547,74.5399422818547,74.5399422818547,74.5399422818547,81.9293875605768,72.2259699390961,60.8618831578374,49.2211668543318,33.2924731973073,18.7008307308447,4.57677854538082,0,0,0,1.15101676163982,0.94553992993805,6.13815987059877,7.55790668405344,7.87757983144074,10.103092282374,16.2592001607169,26.5688841018079,26.5688841018079,26.5688841018079,26.5688841018079
132,"CPV","Cabo Verde",31.4403995460516,31.4403995460516,31.4403995460516,31.4403995460516,31.4403995460516,33.5200378055568,37.9406060433498,37.1954419965587,37.1526724647969,31.840095290903,26.3833209354547,29.8046527159675,34.0876094946944,36.7686103606352,37.637165184506,38.5884865290572,45.4924991673969,52.1040377365277,57.4590784211512,55.4859130317756,51.9795149290684,50.8098859362642,54.7418342390955,54.7418342390955,54.7418342390955,54.7418342390955
116,"KHM","Cambodia",46.4828962952333,46.4828962952333,46.4828962952333,46.4828962952333,46.4828962952333,46.4828962952333,46.4828962952333,46.4828962952333,43.1356987850592,57.0038106908237,52.6765430089663,47.6073994435922,44.4685163095703,43.3544774693298,34.6196831142172,35.1624405870706,35.7711663947541,40.1115938835017,44.0522840976283,55.9050108625762,66.097309371496,72.4529336752194,77.3188352913298,77.3188352913298,77.3188352913298,77.3188352913298
120,"CMR","Cameroon",0,0,0,0,0,0,46.2927146945363,100,100,100,100,100,100,99.5556188753524,86.5173699503065,88.4874064238736,97.6252853795331,100,100,100,100,100,100,100,100,100
124,"CAN","Canada",65.8047420644174,65.8047420644174,65.8047420644174,65.8047420644174,65.8047420644174,73.2073523174852,84.9080435510038,94.0266745870973,96.6187469455008,90.8278265442596,95.5267775026942,91.3553692005302,85.5597685520188,93.2410995189522,96.9794773693761,94.1062877330165,99.4367901001969,100,96.2408891139444,85.4867211332819,81.7320230789569,83.2875092539823,84.3626289060969,84.3626289060969,84.3626289060969,84.3626289060969
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",75.3195311250777,75.3195311250777,75.3195311250777,75.3195311250777,75.3195311250777,69.2354934313281,65.2842449637774,74.5402833467425,56.7599441082752,56.8503699546176,50.4492577621629,52.4417565372382,52.8009749389652,42.5155128404942,70.177621798457,71.7172072036081,66.9194656919884,98.4776006661081,87.2789989354297,97.5453212551592,94.1519126234607,84.8617823894912,72.046653995838,72.046653995838,72.046653995838,72.046653995838
148,"TCD","Chad",43.9496247353167,43.9496247353167,43.9496247353167,43.9496247353167,43.9496247353167,35.6780701913276,35.0307257631628,28.9275092109496,23.641403249059,20.9963225593263,20.4054203841572,24.0231247434379,24.1618453106513,29.1745821431735,38.2171524495941,38.4340013859537,44.6616128532925,46.150731761091,47.1614522285773,49.7866867611714,0,0,0,0,0,0
152,"CHL","Chile",39.822800629062,39.822800629062,39.822800629062,39.822800629062,39.822800629062,43.189961980248,53.444440421723,62.3805165809587,73.9858140584429,75.7331064288337,74.8783443060363,73.0582543337491,68.7054461551272,65.2646939551571,61.1724539724129,66.3688716550125,66.5710502340116,68.17613424808,73.9992316606,75.5216069999753,79.0757083064553,81.5384487603902,79.8228410636605,79.8228410636605,79.8228410636605,79.8228410636605
156,"CHN","China",68.4312128926079,68.4312128926079,68.4312128926079,68.4312128926079,68.4312128926079,69.1295915530477,69.9876902277102,72.0690955953483,71.1965793699371,65.8477207500527,53.3741872050227,38.7852249289453,31.9599822998019,28.7244458173273,28.9232109899144,29.4422841053964,30.5965472099607,36.0611818950136,40.6492292719282,42.1903530525093,41.2706672951783,39.0734853413122,39.3258033360491,39.3258033360491,39.3258033360491,39.3258033360491
170,"COL","Colombia",70.0915343321238,70.0915343321238,70.0915343321238,70.0915343321238,70.0915343321238,73.3504209808697,77.7366916681193,80.2927983340571,78.7248840682144,80.9006476457248,80.313879346891,81.2035295382422,76.3070478316138,69.292045874389,67.5986003795607,63.081236007377,63.711723082298,68.160764777459,71.9821441366719,77.2694062793293,82.7102263844091,88.1260125575247,90.3085411167254,90.3085411167254,90.3085411167254,90.3085411167254
