"code","iso","country","FGT.ind.1995","FGT.ind.1996","FGT.ind.1997","FGT.ind.1998","FGT.ind.1999","FGT.ind.2000","FGT.ind.2001","FGT.ind.2002","FGT.ind.2003","FGT.ind.2004","FGT.ind.2005","FGT.ind.2006","FGT.ind.2007","FGT.ind.2008","FGT.ind.2009","FGT.ind.2010","FGT.ind.2011","FGT.ind.2012","FGT.ind.2013","FGT.ind.2014","FGT.ind.2015","FGT.ind.2016","FGT.ind.2017","FGT.ind.2018","FGT.ind.2019","FGT.ind.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",5.72244775277784,9.60951747664912,10.6089043225704,5.77528382804648,7.83573047432857,4.3657399186676,9.09390156838518,0.587181055210905,3.55054775533407,1.16972003727848,1.59910566735283,1.37845548107791,1.12726068927192,1.39315318775864,0.985993084527948,1.43438408192101,0.346333083409533,0.336370324924403,0.349496045117263,0.377631774718452,0.377631774718452,0.377631774718452,0.377631774718452,0.377631774718452,0.377631774718452,0.377631774718452
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",3.27166375656623,3.05897137082104,3.19853785151497,3.26798507509837,3.27466280692231,3.88773928087515,3.34900397102346,3.49801939631969,3.99989361602984,3.84677191512074,3.29768958506233,3.20092780171485,3.14958012592645,3.26450057912808,3.72279146378997,4.06327980050006,3.92419853558066,3.89386708092121,4.23668580463827,4.39459442091014,4.39459442091014,4.39459442091014,4.39459442091014,4.39459442091014,4.39459442091014,4.39459442091014
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",1.68092689616903,2.25791480081234,2.83124104341861,2.63802794202554,3.61895646048286,3.83655574234028,3.19749263476449,2.52327698500828,2.32630489099213,1.6888573771076,2.35916486411817,3.58030425808508,3.54203922617954,3.72658994023661,2.40610954078979,2.46055889601639,2.42293286597206,2.89740717157341,2.96356326241437,2.56599425101984,2.56599425101984,2.56599425101984,2.56599425101984,2.56599425101984,2.56599425101984,2.56599425101984
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",3.06726141726901,3.38103261941099,3.89475789665374,3.72370576806119,3.57262544758139,4.01566812045263,3.03872884240839,4.26364213404057,4.98252343024936,5.79200236303554,5.743539794505,5.79455337405778,6.93723398762613,6.90414248510433,6.72483945950881,6.65530238873309,6.73782968760263,6.68396459437939,6.58767351665196,6.47445854531686,6.47445854531686,6.47445854531686,6.47445854531686,6.47445854531686,6.47445854531686,6.47445854531686
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",10.9064556473784,10.9742251058576,11.1318308075042,10.9257052905982,11.2303053415447,11.5387712419084,12.0029153146435,12.3328763359616,12.2762296662071,12.7119636941868,13.2179926471364,11.8154522997793,11.838753833138,12.1214976899211,12.9386967306136,13.9574762362634,12.6365623276432,10.3508032234938,10.6928449982586,10.962130178063,10.962130178063,10.962130178063,10.962130178063,10.962130178063,10.962130178063,10.962130178063
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",0,0,0,0.0118893383024101,0,0,0,0,0,0,0,0,0,0,0,0,0.124312826189794,0.183031879155649,0.172055918604755,0.147934592592961,0.147934592592961,0.147934592592961,0.147934592592961,0.147934592592961,0.147934592592961,0.147934592592961
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",2.76476797433575,2.09759888967359,1.1651552791682,2.67802146362671,4.23135492069645,2.29328821208097,3.94637639860694,6.43865497513124,6.50433148363487,6.86074286169631,6.41565164558129,7.83844348751256,6.41216186741205,6.42575960109895,7.29643512605193,4.80389758991514,5.32855907391391,5.65762292856562,5.41174800996126,5.51668417574884,5.51668417574884,5.51668417574884,5.51668417574884,5.51668417574884,5.51668417574884,5.51668417574884
100,"BGR","Bulgaria",9.5668613693031,8.61585340184529,8.92817928009806,9.25346349792513,8.73865891232109,9.4385879909555,14.0558012302745,4.12414531695772,4.92483535513227,6.39262851318921,6.6948751869091,6.84968164164606,12.7220748518283,8.62593227793015,6.96385127148071,6.41720844374537,4.91792383134616,6.97692866048742,6.44729191392017,8.67873903097279,8.67873903097279,8.67873903097279,8.67873903097279,8.67873903097279,8.67873903097279,8.67873903097279
