"code","iso","country","LCB.ind.1995","LCB.ind.1996","LCB.ind.1997","LCB.ind.1998","LCB.ind.1999","LCB.ind.2000","LCB.ind.2001","LCB.ind.2002","LCB.ind.2003","LCB.ind.2004","LCB.ind.2005","LCB.ind.2006","LCB.ind.2007","LCB.ind.2008","LCB.ind.2009","LCB.ind.2010","LCB.ind.2011","LCB.ind.2012","LCB.ind.2013","LCB.ind.2014","LCB.ind.2015","LCB.ind.2016","LCB.ind.2017","LCB.ind.2018","LCB.ind.2019","LCB.ind.2020"
4,"AFG","Afghanistan",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,"ALB","Albania",78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545,78.4081744191545
12,"DZA","Algeria",28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961,28.6797683468961
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752,27.2138501649752
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143,79.7285985737143
32,"ARG","Argentina",57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925,57.8440866512925
51,"ARM","Armenia",97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157,97.3182596002157
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
