"code","iso","country","RMS.ind.1995","RMS.ind.1996","RMS.ind.1997","RMS.ind.1998","RMS.ind.1999","RMS.ind.2000","RMS.ind.2001","RMS.ind.2002","RMS.ind.2003","RMS.ind.2004","RMS.ind.2005","RMS.ind.2006","RMS.ind.2007","RMS.ind.2008","RMS.ind.2009","RMS.ind.2010","RMS.ind.2011","RMS.ind.2012","RMS.ind.2013","RMS.ind.2014","RMS.ind.2015","RMS.ind.2016","RMS.ind.2017","RMS.ind.2018","RMS.ind.2019","RMS.ind.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691,16.1926708347691
12,"DZA","Algeria",14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723,14.324871590723
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151,21.2652285297151
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089,8.57696788424089
32,"ARG","Argentina",6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226,6.16180589251226
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
