"code","iso","country","SDA.ind.1995","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",100,100,100,100,100,100,66.0270103406454,40.8746015460975,23.3627597488065,12.358920673868,9.99740984383644,15.866231544213,49.0320051324165,95.7894521805496,100,100,100,100,100,100,100,100,100,100,100,100
12,"DZA","Algeria",74.5719297963007,74.5719297963007,74.5719297963007,74.5719297963007,74.5719297963007,73.3681693746184,73.2921970356523,61.0919195162602,52.301439267249,47.5374035010637,45.8762633961784,45.3613011869668,46.5582603688265,67.1835077648904,80.1395246092823,92.3228986596939,100,100,100,100,100,100,100,100,100,100
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",72.5528897975391,72.5528897975391,72.5528897975391,72.5528897975391,72.5528897975391,63.8462563306967,53.1536218208062,49.3508309634714,38.9108986542827,34.3574525224313,37.195647739763,30.4264975977095,26.9668953224298,26.5252152725492,14.2665712673707,6.32956383466812,1.10299110596023,4.51251923977485,0,5.16107539540209,5.16107539540209,5.16107539540209,5.16107539540209,5.16107539540209,5.16107539540209,5.16107539540209
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",70.387214015986,70.387214015986,70.387214015986,70.387214015986,70.387214015986,74.3601357980103,78.5856631874623,75.2489313578073,71.2210599078942,68.0640009298729,66.0099945446641,64.5837073671297,60.453165153873,55.5713569401844,52.1080504670165,48.7282150407116,46.643478995483,39.7502886745586,32.2881072329053,28.2349754406005,28.2349754406005,28.2349754406005,28.2349754406005,28.2349754406005,28.2349754406005,28.2349754406005
32,"ARG","Argentina",71.3698440755791,71.3698440755791,71.3698440755791,71.3698440755791,71.3698440755791,76.5654147780213,84.048149248669,84.8076117625519,84.1131123713552,77.7839224164357,75.4866731736447,73.7835465205564,65.6150884008939,54.6239260148999,50.7378436167904,44.8782149185644,43.9510016471035,49.0550812745846,59.9056861698938,67.3077378925428,67.3077378925428,67.3077378925428,67.3077378925428,67.3077378925428,67.3077378925428,67.3077378925428
51,"ARM","Armenia",97.9701149315046,97.9701149315046,97.9701149315046,97.9701149315046,97.9701149315046,100,100,100,78.3525404883509,58.8052618319749,37.5370140874782,24.9166574999428,26.2332634527874,30.519398863767,39.8975112021246,53.015017544129,67.0291370696768,63.0242527856361,55.418736281477,50.5849451294517,50.5849451294517,50.5849451294517,50.5849451294517,50.5849451294517,50.5849451294517,50.5849451294517
533,"ABW","Aruba",81.7414208110685,81.7414208110685,81.7414208110685,81.7414208110685,81.7414208110685,51.4621315468926,19.7996195146097,0,0,0,0,0,3.84541627314486,27.7831379716997,68.5450841044652,69.8901224283308,64.8873567794646,88.4435771218205,100,100,100,100,100,100,100,100
36,"AUS","Australia",100,100,100,100,100,100,100,100,87.2997574085321,74.0017205944985,66.7605694026312,62.1646606281419,66.4888789856785,71.0982352671653,72.8453461222555,71.8261014846342,74.3688165489305,78.9819430449282,86.346105950659,92.3954343029189,92.3954343029189,92.3954343029189,92.3954343029189,92.3954343029189,92.3954343029189,92.3954343029189
40,"AUT","Austria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",70.0757687036144,70.0757687036144,70.0757687036144,70.0757687036144,70.0757687036144,62.1780873079259,82.6706325442255,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
44,"BHS","Bahamas",100,100,100,100,100,100,100,97.935418313777,94.8842559357853,84.498783453866,81.6065119964633,79.9360505677273,97.1589541430221,100,100,67.6613819198111,57.2179721888588,42.3891457782491,30.6917339718338,18.6675501598913,18.6675501598913,18.6675501598913,18.6675501598913,18.6675501598913,18.6675501598913,18.6675501598913
48,"BHR","Bahrain",13.0276904589926,13.0276904589926,13.0276904589926,13.0276904589926,13.0276904589926,28.0411681779795,46.1583332309486,58.7464095189596,57.3032319389646,57.1812828316423,45.7075783339683,23.5662142058426,11.0459468473874,9.35212972813949,17.6936041642037,28.8928021196717,41.1291735582971,55.3634530033644,70.8055199462843,95.0718395624609,95.0718395624609,95.0718395624609,95.0718395624609,95.0718395624609,95.0718395624609,95.0718395624609
