"code","iso","country","USD.ind.1995","USD.ind.1996","USD.ind.1997","USD.ind.1998","USD.ind.1999","USD.ind.2000","USD.ind.2001","USD.ind.2002","USD.ind.2003","USD.ind.2004","USD.ind.2005","USD.ind.2006","USD.ind.2007","USD.ind.2008","USD.ind.2009","USD.ind.2010","USD.ind.2011","USD.ind.2012","USD.ind.2013","USD.ind.2014","USD.ind.2015","USD.ind.2016","USD.ind.2017","USD.ind.2018","USD.ind.2019","USD.ind.2020"
4,"AFG","Afghanistan",11.9844399046395,11.9844399046395,11.9844399046395,11.9844399046395,11.9844399046395,11.9844399046395,12.8823480045101,13.7802561043806,14.6781642042511,15.5760723041217,16.4739804039923,17.3718885038627,18.2697966037333,19.1677047036039,20.0656128034744,20.9635209033449,21.8045724492066,22.6456239950682,23.4866755409297,24.3277270867913,25.168778632653,25.9899684871913,26.8111583417297,27.632348196268,28.4535380508063,28.4535380508063
8,"ALB","Albania",48.9545424147414,48.9545424147414,48.9545424147414,48.9545424147414,48.9545424147414,48.9545424147414,49.5896883592417,50.224834303742,50.8599802482423,51.4951261927426,52.130272137243,52.7654180817432,53.4005640262435,54.0357099707438,54.6708559152441,55.3060018597443,55.7229512776803,56.1399006956163,56.5568501135521,56.9737995314881,57.3907489494241,57.9569242392264,58.5230995290287,59.089274818831,59.6554501086334,59.6554501086334
12,"DZA","Algeria",43.536279180435,43.536279180435,43.536279180435,43.536279180435,43.536279180435,43.536279180435,44.6305814333999,45.7248836863648,46.8191859393298,47.9134881922947,49.0077904452596,50.1020926982247,51.1963949511896,52.2906972041545,53.3849994571194,54.4793017100843,55.0036520582183,55.5280024063523,56.0523527544864,56.5767031026204,57.1010534507544,57.7216790599055,58.3423046690566,58.9629302782077,59.5835558873589,59.5835558873589
20,"AND","Andorra",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0.610870874429111,1.60953715702099,2.60820343961291,3.60686972220482,4.6055360047967,5.5147017361203,6.42386746744388,7.33303319876759,8.24219893009118,9.15136466141475,10.3895197606174,11.6276748598201,12.8658299590228,14.1039850582254,14.1039850582254
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",49.7363139985679,49.7363139985679,49.7363139985679,49.7363139985679,49.7363139985679,49.7363139985679,50.2476362981832,50.7589585977987,51.270280897414,51.7816031970293,52.2929254966448,52.8042477962601,53.3155700958754,53.8268923954907,54.3382146951062,54.8495369947215,55.1464396417978,55.4433422888742,55.7402449359504,56.0371475830268,56.3340502301031,56.6198432204671,56.905636210831,57.1914292011951,57.4772221915591,57.4772221915591
32,"ARG","Argentina",55.7859841671086,55.7859841671086,55.7859841671086,55.7859841671086,55.7859841671086,55.7859841671086,56.9596312682071,58.1332783693056,59.3069254704041,60.4805725715025,61.6542196726011,62.8278667736995,64.0015138747981,65.1751609758965,66.3488080769949,67.5224551780935,68.1967000982659,68.8709450184384,69.5451899386108,70.2194348587833,70.8936797789558,71.3396831490363,71.7856865191169,72.2316898891974,72.6776932592781,72.6776932592781
51,"ARM","Armenia",37.6576376288264,37.6576376288264,37.6576376288264,37.6576376288264,37.6576376288264,37.6576376288264,39.2974331110089,40.9372285931915,42.577024075374,44.2168195575566,45.8566150397391,47.4964105219217,49.1362060041042,50.7760014862868,52.4157969684693,54.0555924506519,53.5850690651005,53.1145456795493,52.6440222939979,52.1734989084467,51.7029755228953,51.4527537530461,51.202531983197,50.9523102133479,50.7020884434987,50.7020884434987
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",90.1297119946849,90.1297119946849,90.1297119946849,90.1297119946849,90.1297119946849,90.1297119946849,90.4274464111899,90.725180827695,91.0229152442,91.320649660705,91.6183840772101,91.9161184937152,92.2138529102203,92.5115873267253,92.8093217432303,93.1070561597354,93.3882841983078,93.6695122368803,93.9507402754527,94.2319683140252,94.5131963525976,94.8816685846186,95.2501408166395,95.6186130486604,95.9870852806814,95.9870852806814
40,"AUT","Austria",82.5759385686235,82.5759385686235,82.5759385686235,82.5759385686235,82.5759385686235,82.5759385686235,82.7694067326976,82.9628748967716,83.1563430608457,83.3498112249197,83.5432793889938,83.7367475530678,83.9302157171419,84.1236838812159,84.31715204529,84.510620209364,84.74307279937,84.975525389376,85.207977979382,85.440430569388,85.672883159394,85.9347859818904,86.1966888043867,86.458591626883,86.7204944493794,86.7204944493794
31,"AZE","Azerbaijan",24.0276850160941,24.0276850160941,24.0276850160941,24.0276850160941,24.0276850160941,24.0276850160941,25.9007707179085,27.7738564197227,29.6469421215371,31.5200278233515,33.3931135251659,35.2661992269801,37.1392849287945,39.0123706306089,40.8854563324232,42.7585420342375,42.9738366736574,43.189131313077,43.4044259524969,43.6197205919165,43.8350152313364,43.9522780462914,44.0695408612466,44.1868036762016,44.3040664911568,44.3040664911568
44,"BHS","Bahamas",58.4532323924416,58.4532323924416,58.4532323924416,58.4532323924416,58.4532323924416,58.4532323924416,59.0396869511035,59.6261415097654,60.2125960684273,60.7990506270892,61.3855051857511,61.971959744413,62.5584143030749,63.1448688617368,63.7313234203987,64.3177779790606,64.5674267882514,64.8170755974422,65.066724406633,65.3163732158238,65.5660220250147,65.63195561898,65.6978892129456,65.7638228069109,65.8297564008763,65.8297564008763
48,"BHR","Bahrain",56.1769624726682,56.1769624726682,56.1769624726682,56.1769624726682,56.1769624726682,56.1769624726682,56.7659183349646,57.354874197261,57.9438300595574,58.5327859218538,59.1217417841502,59.7106976464466,60.299653508743,60.8886093710394,61.4775652333358,62.0665210956322,62.4897911681662,62.9130612407001,63.3363313132343,63.7596013857682,64.1828714583022,64.7817181092352,65.3805647601681,65.9794114111011,66.5782580620341,66.5782580620341
50,"BGD","Bangladesh",13.5744285313636,13.5744285313636,13.5744285313636,13.5744285313636,13.5744285313636,13.5744285313636,14.5150677390911,15.4557069468184,16.3963461545459,17.3369853622733,18.2776245700008,19.2182637777283,20.1589029854557,21.0995421931832,22.0401814009105,22.980820608638,23.6199054704992,24.2589903323604,24.8980751942216,25.5371600560828,26.176244917944,26.6403488580445,27.104452798145,27.5685567382456,28.0326606783462,28.0326606783462
52,"BRB","Barbados",52.9291805831575,52.9291805831575,52.9291805831575,52.9291805831575,52.9291805831575,52.9291805831575,53.3403211279768,53.7514616727963,54.1626022176157,54.5737427624352,54.9848833072545,55.3960238520739,55.8071643968934,56.2183049417127,56.6294454865322,57.0405860313516,57.3441521449873,57.647718258623,57.9512843722586,58.2548504858943,58.55841659953,58.505045159604,58.4516737196778,58.3983022797518,58.3449308398258,58.3449308398258
112,"BLR","Belarus",52.5330456243271,52.5330456243271,52.5330456243271,52.5330456243271,52.5330456243271,52.5330456243271,53.1211612670441,53.7092769097612,54.2973925524781,54.8855081951952,55.4736238379123,56.0617394806293,56.6498551233464,57.2379707660634,57.8260864087804,58.4142020514975,58.6585919346226,58.9029818177477,59.1473717008727,59.3917615839978,59.6361514671229,59.7903402339855,59.9445290008481,60.0987177677108,60.2529065345734,60.2529065345734
56,"BEL","Belgium",87.657624484682,87.657624484682,87.657624484682,87.657624484682,87.657624484682,87.657624484682,87.8669827878459,88.0763410910099,88.2856993941737,88.4950576973376,88.7044160005016,88.9137743036655,89.1231326068295,89.3324909099933,89.5418492131572,89.7512075163212,90.3056450675688,90.8600826188167,91.4145201700643,91.9689577213122,92.5233952725599,93.0417889929701,93.5601827133804,94.0785764337906,94.5969701542009,94.5969701542009
