"code","iso","country","WTL.ind.1995","WTL.ind.1996","WTL.ind.1997","WTL.ind.1998","WTL.ind.1999","WTL.ind.2000","WTL.ind.2001","WTL.ind.2002","WTL.ind.2003","WTL.ind.2004","WTL.ind.2005","WTL.ind.2006","WTL.ind.2007","WTL.ind.2008","WTL.ind.2009","WTL.ind.2010","WTL.ind.2011","WTL.ind.2012","WTL.ind.2013","WTL.ind.2014","WTL.ind.2015","WTL.ind.2016","WTL.ind.2017","WTL.ind.2018","WTL.ind.2019","WTL.ind.2020"
4,"AFG","Afghanistan",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,"ALB","Albania",71.7098465674417,71.7098465674417,71.7098465674417,71.7098465674417,42.8382583840746,39.5375417388439,40.5446197821219,40.5446197821219,34.762046133578,39.5375417388439,42.8382583840746,40.5446197821219,40.5446197821219,47.3238693373711,51.5530858176348,49.2617626332283,54.3561620832469,54.3561620832469,54.3561620832469,51.5530858176348,54.3561620832469,54.3561620832469,54.3561620832469,54.3561620832469,54.3561620832469,54.3561620832469
12,"DZA","Algeria",37.2574049293687,37.2574049293687,37.2574049293687,37.2574049293687,34.4491659286748,40.8771806202827,45.9772110578449,54.6881031500059,54.6881031500059,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",53.5511828709358,53.5511828709358,53.5511828709358,45.9626434955592,39.6623754390369,40.8270162552945,42.2688501613339,43.3356254552388,48.3479716788639,64.059405305529,68.4019026659217,69.3922350918707,69.6233008641858,67.7824622124111,68.2965234160958,65.9134439782198,60.6064734395049,60.8364856858486,63.190592048317,61.4305966824907,63.4735882284377,63.4735882284377,63.4735882284377,63.4735882284377,63.4735882284377,63.4735882284377
660,"AIA","Anguilla",100,100,100,100,100,100,47.518801592623,38.800159240017,33.6975415569125,33.6975415569125,33.6975415569125,38.800159240017,47.518801592623,100,100,100,100,100,100,100,100,100,100,100,100,100
28,"ATG","Antigua and Barbuda",64.4999246208912,64.4999246208912,64.4999246208912,64.4999246208912,64.4999246208912,27.4947426400945,27.4947426400945,26.2347927823427,25.6491397485045,18.7680616083819,26.8490166644888,26.8490166644888,28.1753775612585,26.8490166644888,24.0397723574288,24.0397723574288,24.0397723574288,24.0397723574288,26.2347927823427,100,100,100,100,100,100,100
32,"ARG","Argentina",56.9303001902977,56.9303001902977,56.9303001902977,53.2953850346641,46.8256374554004,47.5014396583537,44.5143219175351,43.4127698009364,41.8180641766619,39.7441248859669,39.91504215969,40.5361826564382,39.2987714514105,40.9470931861555,46.7408108286426,37.7607057886018,38.1376152473166,39.1653287366601,38.0647534949922,35.6626704367339,44.5443288456398,44.5443288456398,44.5443288456398,44.5443288456398,44.5443288456398,44.5443288456398
51,"ARM","Armenia",100,100,100,100,24.4927773892397,24.4927773892397,24.4927773892397,11.2745713089681,8.46477198705672,12.6012405281055,11.2745713089681,11.2745713089681,22.8116341260928,35.158398828851,28.7286444409588,35.158398828851,35.158398828851,40.2606023738753,40.2606023738753,100,100,100,100,100,100,100
533,"ABW","Aruba",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,31.0093178071307,22.2832994147071,17.1782213825164,13.5559208625705,10.7461666341167,10.7461666341167,10.7461666341167,10.7461666341167,10.7461666341167,10.7461666341167
