,country,year,CDA,CHA,FGA,NDA,BCA
1,Albania,1995,100.0,73.072519601752,0.0,78.2214857577468,100.0
2,Algeria,1995,40.8364337027657,98.63653350244259,96.3346511265812,72.6208910430031,70.99679563174391
4,Angola,1995,12.888007433254499,70.7298750010929,0.0,100.0,43.8653614384587
6,Antigua and Barbuda,1995,44.483927258428295,80.57563665314579,0.0,36.6905239317592,68.6832084107767
7,Argentina,1995,40.485270556722604,100.0,100.0,63.4357736099175,45.9428160825476
8,Armenia,1995,72.7265609745007,89.8334007670372,0.0,97.7078375078388,100.0
10,Australia,1995,42.5660371961862,99.6668896812155,100.0,76.4588481589045,82.54940540192571
11,Austria,1995,50.90388104889,100.0,92.8006625636549,93.225014737381,100.0
12,Azerbaijan,1995,60.4165299687671,86.98340801456949,100.0,74.17634241837541,88.58920146902528
14,Bahrain,1995,25.7274733404891,33.991728940560606,100.0,43.4592313661058,42.9502389302629
17,Belarus,1995,62.9958055153011,92.9514329617945,39.789190818124,79.73907022911379,93.5667729790186
18,Belgium,1995,50.58385428119289,94.5767753429029,62.742886113801205,43.180749486886704,100.0
23,Bolivia,1995,11.199863792764402,100.0,0.0,45.6042912149922,100.0
24,Bosnia and Herzegovina,1995,0.0,0.0,76.8466677643153,5.9909887069976,45.250970097536104
26,Brazil,1995,27.9270028361,66.1335292005696,100.0,54.1898046125532,92.01339279902979
28,Brunei Darussalam,1995,82.5454559271234,64.5012016107441,0.0,38.3389024470587,14.490686668717101
29,Bulgaria,1995,69.2181561742611,100.0,52.1587459269439,100.0,85.5206434338318
34,Cameroon,1995,0.0,0.0,100.0,54.97158224067061,37.2960588400961
35,Canada,1995,44.5692947549852,65.8047420644174,92.9251986942647,74.82484661508491,60.42324413106171
39,Chile,1995,7.78379117324255,39.822800629062,92.1219172745561,15.3943447960226,28.3961030980729
40,China,1995,34.9387676952945,68.4312128926079,77.2342125994917,31.2554008492954,63.9800168756969
41,Colombia,1995,55.79768027354729,70.0915343321238,90.2507912136264,70.06841148140279,100.0
42,Comoros,1995,33.3438639099258,51.2255145774961,12.1769087447136,39.6412792467602,42.5702534379029
44,Costa Rica,1995,18.743901166951197,100.0,0.0,64.36067003793221,100.0
46,Croatia,1995,39.627610792115505,65.6686767332655,100.0,63.8557702464718,49.3808789139553
47,Cuba,1995,80.86070703019641,76.7236879845631,14.8811329311037,100.0,100.0
49,Cyprus,1995,34.566937513296,32.2602409887995,0.0,51.3553558433943,0.0
50,Czech Republic,1995,81.22023570291691,100.0,29.414642392911702,100.0,100.0
52,Denmark,1995,50.0336851119232,86.26639729180158,75.8119888990331,100.0,100.0
56,Ecuador,1995,43.308608013954895,100.0,0.0,35.3984203078652,88.33185948757851
57,Egypt,1995,24.3384496053853,63.852310156475106,94.47444334094179,18.1363231343832,10.463311062542198
58,El Salvador,1995,6.976380989551151,78.2087798795933,0.0,67.43766407774,38.5374811555784
61,Estonia,1995,88.1404216906077,100.0,67.88158767516029,100.0,65.2219932502109
63,Ethiopia,1995,52.565427697485504,61.522228814328,0.0,59.7785864017749,27.708371068400602
67,Finland,1995,47.7270235595524,77.3799079005864,66.2380359827487,79.0227455618673,100.0
68,France,1995,57.883909124032,100.0,96.38925662472559,100.0,100.0
70,Gabon,1995,53.5338615190584,100.0,0.0,73.39419329739,18.394443810677302
72,Georgia,1995,93.0722588814348,86.0093288105044,8.492388899528981,81.7379005844966,81.4764715682885
73,Germany,1995,75.8361105030718,100.0,91.2340780431501,100.0,100.0
74,Ghana,1995,21.4131252651128,46.504359101843,100.0,58.8613006177353,24.3690153018152
75,Greece,1995,47.0363321142495,54.402649430786106,87.6194203396871,100.0,100.0
77,Grenada,1995,16.906385828105098,63.1856054247727,93.75660685244591,33.7468653838783,32.460075022600606
78,Guatemala,1995,19.284021574092897,52.4239345367153,0.0,40.2016527818705,42.0167759271292
86,Hong Kong,1995,38.6864086143271,55.489546380300396,100.0,55.13726595359571,0.0
87,Hungary,1995,67.0655154164603,100.0,86.4659084230885,65.6413483087334,100.0
88,Iceland,1995,43.772250012792796,66.9532821475393,100.0,78.39224886924279,57.4504601887512
89,India,1995,26.865779013895803,64.2696495365103,90.6227098054718,37.3254623698822,58.5088167583439
90,Indonesia,1995,30.265438145376898,74.5713749470144,100.0,55.9883178367881,43.1150909503456
91,Iran,1995,25.536541296517896,100.0,100.0,42.2858048871564,37.2499229759895
92,Iraq,1995,28.262976845553197,88.71456747596329,100.0,35.7532180948357,30.4437103826269
93,Ireland,1995,41.024406038965395,74.5001602030606,49.3153632831062,58.8311163465942,100.0
95,Israel,1995,26.1731708282066,20.9917894291234,88.7077593185827,16.7006169124092,9.195683193862731
