,country,year,population,GPD,DCT,DNT,DBT
0,Afghanistan,1997,18381605.0,,,,
1,Albania,1997,3148281.0,12803236635.1813,-22.8800464577598,-23.0731704113478,-23.6728802950351
2,Algeria,1997,29886839.0,282761506464.142,-22.0762736819823,-24.9229338149818,-25.0848486379765
3,American Samoa,1997,54941.0,205437426330.5055,-22.11303885553133,-23.83800072788387,-24.13587664455117
4,Andorra,1997,64327.0,128113346196.8689,-22.14980402908037,-22.75306764078593,-23.18690465112583
5,Angola,1997,15088981.0,50789266063.2324,-22.1865692026294,-21.668134553688,-22.2379326577005
6,Anguilla,1997,7583360.0,26051448378.18346,-22.18050644900425,-23.40952720291415,-23.33692361815555
7,Antigua and Barbuda,1997,77739.0,1313630693.13452,-22.1744436953791,-25.1509198521403,-24.4359145786106
8,Argentina,1997,35833969.0,554687591823.056,-22.1164501534498,-23.3651307308574,-23.9390243530818
9,Armenia,1997,3133086.0,7648432625.56006,-21.5618582042014,-23.3260009154088,-26.0753445093993
10,Aruba,1997,85451.0,300126822705.2115,-21.4716537482227,-23.06446337673905,-24.8746666119711
11,Australia,1997,18517000.0,592605212784.863,-21.381449292244,-22.8029258380693,-23.6739887145429
12,Austria,1997,7968041.0,280405479836.61,-22.1939241650185,-24.7373357860702,-24.5617751056861
13,Azerbaijan,1997,7838250.0,27343029882.1875,-20.357004292283,-23.1789541354896,-25.3470059147518
14,Bahamas,1997,286970.0,6589054572.66598,-22.2989816891306,-25.6289108223863,-23.9842576554163
15,Bahrain,1997,594930.0,25953426454.9482,-21.3106571353118,-27.28299316276,-25.7387534231246
16,Bangladesh,1997,123854640.0,186385341419.141,-22.9937979697552,-22.9026167158355,-22.6127896457153
17,Barbados,1997,266945.0,3584266904.65739,-22.1077614220773,-24.9137891728676,-24.2201721484366
18,Belarus,1997,10117000.0,61585847345.4544,-20.7640555845148,-22.3802652708113,-23.6203582172284
19,Belgium,1997,10181245.0,348932173215.655,-21.8100716718917,-24.2927911261307,-24.4619347959851
20,Belize,1997,221606.0,1350135251.83253,-21.9692313489792,-22.8474435718827,-22.5502823023375
21,Benin,1997,6281639.0,9869516848.91402,-22.7824561725336,-22.1394809598948,-21.7655142279429
22,Bermuda,1997,60497.0,2692970077.33757,-22.47890823676125,-22.71871804679355,-25.1113472760817
23,Bhutan,1997,528754.0,1659196959.50421,-22.1753603009889,-23.2979551336923,-21.2357705489509
24,Bolivia,1997,7870855.0,34032255779.771,-22.1860017288741,-22.1930012373463,-23.2222785193512
25,Bosnia and Herzegovina,1997,3752431.0,17830246349.6296,-21.4618715739777,-23.3760313960634,-23.3041811538944
26,Botswana,1997,1637635.0,15972033644.7243,-22.3724275710277,-21.4537249259216,-23.1718610623984
27,Brazil,1997,167545164.0,1899052599714.69,-22.620404261573,-23.419481611239,-23.2735880519037
28,British Virgin Islands,1997,19270.0,962497442366.6307,-22.4740432904614,-24.9323292198599,-24.15969663363005
29,Brunei Darussalam,1997,312038.0,25942285018.5715,-22.3276823193498,-26.4451768284808,-25.0458052153564
30,Bulgaria,1997,8312068.0,71342063674.4196,-21.0371187745092,-23.5488560956787,-23.5746930337616
31,Burkina Faso,1997,10665546.0,10637442647.8716,-23.3032182251448,-21.1966562979078,-21.0009499904461
32,Burundi,1997,6112097.0,4695119716.14871,-23.6448827755018,-22.1339186148054,-20.6790923839613
33,Cambodia,1997,11295880.0,13082038149.0505,-22.7560963307196,-21.8736831387108,-21.0594624191183
34,Cameroon,1997,14165423.0,33671005670.8961,-22.3449048027743,-20.0726578226518,-21.9993419903931
35,Canada,1997,29987200.0,1002346603446.63,-21.441180568971,-23.6383844634106,-23.8350850494329
36,Cape Verde,1997,408175.0,1166700264.28027,-22.7977656923699,-23.5222822517315,-23.2815659854734
37,Cayman Islands,1997,35597.0,2037810246.84842,-22.99666034961885,-20.9987675785933,-22.1721677027477
38,Central African Republic,1997,3517309.0,2908920229.41657,-23.1955550068678,-18.4752529054551,-21.062769420022
39,Chad,1997,7493251.0,7869631797.74639,-24.731915298775,-20.617469586206,-21.3094586511479
40,Chile,1997,14694835.0,210978698198.959,-22.134501335813,-24.2338591805311,-23.4327829301993
41,China,1997,1230075000.0,3709536979812.62,-20.8830959138001,-23.0655573226551,-21.9153455894491
42,Colombia,1997,38645411.0,333682606687.265,-22.3753461892042,-23.5505638967178,-23.8978849446141
43,Comoros,1997,501953.0,701901087.237698,-22.8874604295037,-23.4529736470806,-22.4525323069981
44,Cook Islands,1997,2092339.0,17161891193.40335,-22.8044009020782,-23.53867190297885,-23.20972799799915
45,Costa Rica,1997,3682725.0,33621881299.569,-22.7213413746527,-23.6243701588771,-23.9669236890002
46,Cote d'Ivoire,1997,15445986.0,47102330747.2584,-22.902312133367,-23.2272598167802,-22.4569283061367
47,Croatia,1997,4572000.0,66553464825.6193,-22.069261745711,-23.9260381938589,-24.0212186707012
48,Cuba,1997,11013983.0,111409748620.425,-22.1218009213625,-23.9518867116015,-23.0030070764701
49,Curacao,1997,146956.0,64656246840.657,-21.9754761007621,-24.41199116706105,-23.344141735678
50,Cyprus,1997,891192.0,17902745060.889,-21.8291512801617,-24.8720956225206,-23.6852763948859
51,Czech Republic,1997,10304131.0,205541395449.856,-21.2186875240958,-24.2862628707388,-23.9776087359958
