,country,year,DBT
0,Afghanistan,1997,
1,Albania,1997,-23.6728802950351
2,Algeria,1997,-25.0848486379765
3,American Samoa,1997,
4,Andorra,1997,
5,Angola,1997,-22.2379326577005
6,Anguilla,1997,
7,Antigua and Barbuda,1997,-24.4359145786106
8,Argentina,1997,-23.9390243530818
9,Armenia,1997,-26.0753445093993
10,Aruba,1997,
11,Australia,1997,-23.6739887145429
12,Austria,1997,-24.5617751056861
13,Azerbaijan,1997,-25.3470059147518
14,Bahamas,1997,-23.9842576554163
15,Bahrain,1997,-25.7387534231246
16,Bangladesh,1997,-22.6127896457153
17,Barbados,1997,-24.2201721484366
18,Belarus,1997,-23.6203582172284
19,Belgium,1997,-24.4619347959851
20,Belize,1997,-22.5502823023375
21,Benin,1997,-21.7655142279429
22,Bermuda,1997,-25.1113472760817
23,Bhutan,1997,-21.2357705489509
24,Bolivia,1997,-23.2222785193512
25,Bosnia and Herzegovina,1997,-23.3041811538944
26,Botswana,1997,-23.1718610623984
27,Brazil,1997,-23.2735880519037
28,British Virgin Islands,1997,
29,Brunei Darussalam,1997,-25.0458052153564
30,Bulgaria,1997,-23.5746930337616
31,Burkina Faso,1997,-21.0009499904461
32,Burundi,1997,-20.6790923839613
33,Cambodia,1997,-21.0594624191183
34,Cameroon,1997,-21.9993419903931
35,Canada,1997,-23.8350850494329
36,Cape Verde,1997,-23.2815659854734
37,Cayman Islands,1997,
38,Central African Republic,1997,-21.062769420022
39,Chad,1997,-21.3094586511479
40,Chile,1997,-23.4327829301993
41,China,1997,-21.9153455894491
42,Colombia,1997,-23.8978849446141
43,Comoros,1997,-22.4525323069981
44,Cook Islands,1997,
45,Costa Rica,1997,-23.9669236890002
46,Cote d'Ivoire,1997,-22.4569283061367
47,Croatia,1997,-24.0212186707012
48,Cuba,1997,-23.0030070764701
49,Curacao,1997,
50,Cyprus,1997,-23.6852763948859
51,Czech Republic,1997,-23.9776087359958
52,Dem. Rep. Congo,1997,-20.7330881635296
53,Denmark,1997,-24.7616413578212
54,Djibouti,1997,-21.8031444766238
55,Dominica,1997,-24.3444152826038
56,Dominican Republic,1997,-23.0683532041744
57,Ecuador,1997,-23.5293394334398
58,Egypt,1997,-24.0405114838469
59,El Salvador,1997,-22.9517843162501
60,Equatorial Guinea,1997,-22.8369233197815
61,Eritrea,1997,-21.8350895577571
62,Estonia,1997,-23.2184910120122
63,Ethiopia,1997,-20.8371602416407
64,Faeroe Islands,1997,
65,Falkland Islands,1997,
66,Fiji,1997,-23.3867429659804
67,Finland,1997,-23.5226722042975
68,France,1997,-24.1810938359501
69,French Guiana,1997,
70,French Polynesia,1997,
71,Gabon,1997,-23.2796090492229
72,Gambia,1997,-21.9141124594328
73,Georgia,1997,-22.7666673188559
74,Germany,1997,-24.9661641647258
75,Ghana,1997,-21.9644217627753
76,Gibraltar,1997,
77,Greece,1997,-24.2337660877592
78,Greenland,1997,
79,Grenada,1997,-24.1483168933021
80,Guadeloupe,1997,
81,Guam,1997,
82,Guatemala,1997,-22.9016463789805
83,Guinea,1997,-21.164669381728
84,Guinea-Bissau,1997,-22.1608449566899
85,Guyana,1997,-22.9295859609476
86,Haiti,1997,-22.0502207996586
87,Holy See,1997,
88,Honduras,1997,-22.3555161681553
89,Hong Kong,1997,-24.4157884977842
90,Hungary,1997,-24.3531418389601
91,Iceland,1997,-24.6244820133906
92,India,1997,-22.0333074977432
93,Indonesia,1997,-22.8006313929407
94,Iran,1997,-24.3967601164125
95,Iraq,1997,-23.9488917793532
96,Ireland,1997,-24.4944829634905
97,Isle of Man,1997,
98,Israel,1997,-25.1724150978965
99,Italy,1997,-24.600987263895
100,Jamaica,1997,-23.6466327906113
101,Japan,1997,-24.710901736715
102,Jordan,1997,-24.272345873816
103,Kazakhstan,1997,-23.838176210818
104,Kenya,1997,-21.7143681668956
105,Kiribati,1997,-23.678470801265
106,Kosovo,1997,
107,Kuwait,1997,-26.3530018530378
108,Kyrgyzstan,1997,-23.5468268761773
109,Laos,1997,-22.0824547687715
110,Latvia,1997,-23.0805497572892
111,Lebanon,1997,-24.8904825129894
112,Lesotho,1997,-21.7393975198612
113,Liberia,1997,-20.0861248977266
114,Libya,1997,-24.2930599028943
115,Liechtenstein,1997,
116,Lithuania,1997,-23.735420689688
117,Luxembourg,1997,-24.0007428714553
118,Macao,1997,-25.0399115684657
119,Macedonia,1997,-23.4271678130538
120,Madagascar,1997,-21.6598877970095
121,Malawi,1997,-21.3688227825022
122,Malaysia,1997,-23.7337960793732
123,Maldives,1997,
124,Mali,1997,-21.8765779695729
125,Malta,1997,-23.9374700284842
126,Marshall Islands,1997,
127,Martinique,1997,
128,Mauritania,1997,-21.8911910332032
129,Mauritius,1997,-23.4735146804692
130,Mayotte,1997,
131,Mexico,1997,-24.422766365812
132,Micronesia,1997,-27.7272915721941
133,Moldova,1997,-23.7308924310225
134,Monaco,1997,
135,Mongolia,1997,-23.2310746811659
136,Montenegro,1997,-20.9854021512749
137,Montserrat,1997,
138,Morocco,1997,-23.9414861668446
139,Mozambique,1997,-20.3490370159317
140,Myanmar,1997,-21.1590463909247
141,Namibia,1997,-23.4534803769958
142,Nauru,1997,
143,Nepal,1997,-21.4290332581778
144,Netherlands,1997,-24.7532530761374
145,Netherlands Antilles,1997,
146,New Caledonia,1997,
147,New Zealand,1997,-23.9720889309534
148,Nicaragua,1997,-22.2589322708165
149,Niger,1997,-20.9622121102703
150,Nigeria,1997,-21.5082493687167
151,Niue,1997,
152,Norfolk Island,1997,
153,North Korea,1997,
154,Northern Mariana Islands,1997,
155,Norway,1997,-24.2974285712414
156,Oman,1997,-25.7705367953434
157,Pakistan,1997,-22.4881143641218
158,Palau,1997,
159,Panama,1997,-23.3746969612445
160,Papua New Guinea,1997,-22.6426572651507
161,Paraguay,1997,-22.1768074679382
162,Peru,1997,-23.7044811131262
163,Philippines,1997,-22.6544250235381
164,Pitcairn,1997,
165,Poland,1997,-23.5736025641962
166,Portugal,1997,-24.1782082055812
167,Puerto Rico,1997,-29.1612810897064
168,Qatar,1997,
169,Republic of Congo,1997,-22.9976682814612
170,Reunion,1997,
171,Romania,1997,-23.6456316515868
172,Russia,1997,-24.5249597000004
173,Rwanda,1997,-20.7731721880474
174,Saint Helena,1997,
175,Saint Kitts and Nevis,1997,-23.5684424970876
176,Saint Lucia,1997,-24.4424532402077
177,Saint Pierre and Miquelon,1997,
178,Saint Vincent and the Grenadines,1997,-24.0261246094389
179,Samoa,1997,-23.1886524483333
180,San Marino,1997,
181,Sao Tome and Principe,1997,
182,Saudi Arabia,1997,-24.8709023206187
183,Senegal,1997,-22.298379553276
184,Serbia,1997,-23.2829610377122
185,Seychelles,1997,-23.0544849649489
186,Sierra Leone,1997,-20.7967976986223
187,Singapore,1997,-24.7818649093975
188,Sint Maarten,1997,
189,Slovakia,1997,-24.1812539646048
190,Slovenia,1997,-23.7375957821846
191,Solomon Islands,1997,-23.1196294643702
192,Somalia,1997,-18.6738526672474
193,South Africa,1997,-22.7847431680967
194,South Korea,1997,-23.9048071176785
195,South Sudan,1997,
196,Spain,1997,-24.4296656722257
197,Sri Lanka,1997,-22.7334486319004
198,State of Palestine,1997,
199,Sudan,1997,-21.7928953210936
200,Suriname,1997,-24.071315176527
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,-22.8755196569679
203,Sweden,1997,-24.6257464604096
204,Switzerland,1997,-25.6119609532859
205,Syria,1997,-23.2536172781864
206,Taiwan,1997,-23.6108569473393
207,Tajikistan,1997,-25.4736171473599
208,Tanzania,1997,-21.3686449521601
209,Thailand,1997,-22.8029751410712
210,Timor-Leste,1997,
211,Togo,1997,-21.3751471088207
212,Tokelau,1997,
213,Tonga,1997,-27.3209227936391
214,Trinidad and Tobago,1997,-24.3010619164105
215,Tunisia,1997,-23.5981317720066
216,Turkey,1997,-23.987314390623
217,Turkmenistan,1997,-25.0093837616471
218,Turks and Caicos Islands,1997,
219,Tuvalu,1997,
220,Uganda,1997,-20.7521002106822
221,Ukraine,1997,-23.6611680173138
222,United Arab Emirates,1997,-24.9563201481414
223,United Kingdom,1997,-24.8224849870601
224,United States of America,1997,-24.6947942016928
225,United States Virgin Islands,1997,
226,Uruguay,1997,-23.8624307210755
227,Uzbekistan,1997,-24.34142935271
228,Vanuatu,1997,-23.475439561035
229,Venezuela,1997,-24.6341826629952
230,Viet Nam,1997,-21.5755304214784
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,-24.7412118277658
234,Zambia,1997,-21.3335540022682
235,Zimbabwe,1997,-21.6900234734283
236,Afghanistan,1998,
237,Albania,1998,-23.6137252686194
238,Algeria,1998,-25.1375826361564
239,American Samoa,1998,
240,Andorra,1998,
241,Angola,1998,-22.2889431241811
242,Anguilla,1998,
