,country,year,DCT
0,Afghanistan,1997,
1,Albania,1997,-22.8800464577598
2,Algeria,1997,-22.0762736819823
3,American Samoa,1997,
4,Andorra,1997,
5,Angola,1997,-22.1865692026294
6,Anguilla,1997,
7,Antigua and Barbuda,1997,-22.1744436953791
8,Argentina,1997,-22.1164501534498
9,Armenia,1997,-21.5618582042014
10,Aruba,1997,
11,Australia,1997,-21.381449292244
12,Austria,1997,-22.1939241650185
13,Azerbaijan,1997,-20.357004292283
14,Bahamas,1997,-22.2989816891306
15,Bahrain,1997,-21.3106571353118
16,Bangladesh,1997,-22.9937979697552
17,Barbados,1997,-22.1077614220773
18,Belarus,1997,-20.7640555845148
19,Belgium,1997,-21.8100716718917
20,Belize,1997,-21.9692313489792
21,Benin,1997,-22.7824561725336
22,Bermuda,1997,
23,Bhutan,1997,-22.1753603009889
24,Bolivia,1997,-22.1860017288741
25,Bosnia and Herzegovina,1997,-21.4618715739777
26,Botswana,1997,-22.3724275710277
27,Brazil,1997,-22.620404261573
28,British Virgin Islands,1997,
29,Brunei Darussalam,1997,-22.3276823193498
30,Bulgaria,1997,-21.0371187745092
31,Burkina Faso,1997,-23.3032182251448
32,Burundi,1997,-23.6448827755018
33,Cambodia,1997,-22.7560963307196
34,Cameroon,1997,-22.3449048027743
35,Canada,1997,-21.441180568971
36,Cape Verde,1997,-22.7977656923699
37,Cayman Islands,1997,
38,Central African Republic,1997,-23.1955550068678
39,Chad,1997,-24.731915298775
40,Chile,1997,-22.134501335813
41,China,1997,-20.8830959138001
42,Colombia,1997,-22.3753461892042
43,Comoros,1997,-22.8874604295037
44,Cook Islands,1997,
45,Costa Rica,1997,-22.7213413746527
46,Cote d'Ivoire,1997,-22.902312133367
47,Croatia,1997,-22.069261745711
48,Cuba,1997,-22.1218009213625
49,Curacao,1997,
50,Cyprus,1997,-21.8291512801617
51,Czech Republic,1997,-21.2186875240958
52,Dem. Rep. Congo,1997,-23.8777789658663
53,Denmark,1997,-21.9019835476693
54,Djibouti,1997,-22.2419757833958
55,Dominica,1997,-22.6194469258293
56,Dominican Republic,1997,-22.0749893275879
57,Ecuador,1997,-22.100000569512
58,Egypt,1997,-22.1673222638784
59,El Salvador,1997,-22.5687746295452
60,Equatorial Guinea,1997,-21.4368267368305
61,Eritrea,1997,-22.6645852199959
62,Estonia,1997,-20.8630707274755
63,Ethiopia,1997,-23.2270277372452
64,Faeroe Islands,1997,
65,Falkland Islands,1997,
66,Fiji,1997,-22.5614413035226
67,Finland,1997,-21.6639889828143
68,France,1997,-22.3903624960362
69,French Guiana,1997,
70,French Polynesia,1997,
71,Gabon,1997,-22.309517730516
72,Gambia,1997,-22.8469892854049
73,Georgia,1997,-21.6070240429592
74,Germany,1997,-21.8959753948856
75,Ghana,1997,-22.8620089715873
76,Gibraltar,1997,
77,Greece,1997,-21.7677575722732
78,Greenland,1997,
79,Grenada,1997,-22.3065186734043
80,Guadeloupe,1997,
81,Guam,1997,
82,Guatemala,1997,-22.9674407442023
83,Guinea,1997,-22.5747917165725
84,Guinea-Bissau,1997,-23.1173868998627
85,Guyana,1997,-21.4848581031266
86,Haiti,1997,-23.1266341082725
87,Holy See,1997,
88,Honduras,1997,-22.3151396443004
89,Hong Kong,1997,
90,Hungary,1997,-21.7679078796262
91,Iceland,1997,-22.0644991187062
92,India,1997,-21.7097483790345
93,Indonesia,1997,-22.3633385922671
94,Iran,1997,-21.6091918887875
95,Iraq,1997,-21.1542988815239
96,Ireland,1997,-21.9074083424003
97,Isle of Man,1997,
98,Israel,1997,-21.7097677509314
99,Italy,1997,-22.2602618637339
100,Jamaica,1997,-21.550775189562
101,Japan,1997,-22.0187603724175
102,Jordan,1997,-21.5286054346366
103,Kazakhstan,1997,-20.7770678089397
104,Kenya,1997,-22.9534947209098
105,Kiribati,1997,-22.5025109712571
106,Kosovo,1997,
107,Kuwait,1997,-22.083589208791
108,Kyrgyzstan,1997,-21.187115817376
109,Laos,1997,-23.5808002894692
110,Latvia,1997,-21.7107308471417
111,Lebanon,1997,-21.5737806357399
112,Lesotho,1997,-21.2853206520037
113,Liberia,1997,-21.9496906708362
114,Libya,1997,-21.7838135477376
115,Liechtenstein,1997,
116,Lithuania,1997,-21.7459649528918
117,Luxembourg,1997,-21.9342680893014
118,Macao,1997,
119,Macedonia,1997,-21.2649655974178
120,Madagascar,1997,-23.2179516400892
121,Malawi,1997,-22.9640930982661
122,Malaysia,1997,-21.9501957893687
123,Maldives,1997,
124,Mali,1997,-24.0171867808607
125,Malta,1997,-21.9199611173378
126,Marshall Islands,1997,-21.5393906005696
127,Martinique,1997,
128,Mauritania,1997,-22.5235026289069
129,Mauritius,1997,-22.6459163916834
130,Mayotte,1997,
131,Mexico,1997,-22.0729285194361
132,Micronesia,1997,-21.7657440819947
133,Moldova,1997,-20.7004551403567
134,Monaco,1997,
135,Mongolia,1997,-20.9157798666483
136,Montenegro,1997,
137,Montserrat,1997,
138,Morocco,1997,-22.0804849230282
139,Mozambique,1997,-22.5664433763476
140,Myanmar,1997,-22.5442280257703
141,Namibia,1997,-22.3832001432831
142,Nauru,1997,
143,Nepal,1997,-23.3944006476834
144,Netherlands,1997,-21.9655889688871
145,Netherlands Antilles,1997,
146,New Caledonia,1997,
147,New Zealand,1997,-22.0023785538354
148,Nicaragua,1997,-22.3248745645178
149,Niger,1997,-22.8898710708142
150,Nigeria,1997,-22.0654682983451
151,Niue,1997,
152,Norfolk Island,1997,
153,North Korea,1997,
154,Northern Mariana Islands,1997,
155,Norway,1997,-22.6334536068927
156,Oman,1997,-22.3939232108116
157,Pakistan,1997,-22.2886708044641
158,Palau,1997,-20.864979934607
159,Panama,1997,-22.5090271169596
160,Papua New Guinea,1997,-22.1231304168364
161,Paraguay,1997,-22.8065450859159
162,Peru,1997,-22.4846919283515
163,Philippines,1997,-22.1177811746325
164,Pitcairn,1997,
165,Poland,1997,-21.0778090316797
166,Portugal,1997,-22.2383173373606
167,Puerto Rico,1997,
168,Qatar,1997,
169,Republic of Congo,1997,-22.1045919814507
170,Reunion,1997,
171,Romania,1997,-21.4524966255189
172,Russia,1997,-20.9868018502018
173,Rwanda,1997,-23.0478015280691
174,Saint Helena,1997,
175,Saint Kitts and Nevis,1997,-22.4522161949787
176,Saint Lucia,1997,-22.2171046400435
177,Saint Pierre and Miquelon,1997,
178,Saint Vincent and the Grenadines,1997,-22.4614683516341
179,Samoa,1997,-22.3862915694733
180,San Marino,1997,
181,Sao Tome and Principe,1997,
182,Saudi Arabia,1997,-21.912063919175
183,Senegal,1997,-22.3172588918437
184,Serbia,1997,-20.7987693769426
185,Seychelles,1997,-22.0891428089478
186,Sierra Leone,1997,-22.9015290373957
187,Singapore,1997,-22.2548347938153
188,Sint Maarten,1997,
189,Slovakia,1997,-21.3535231678632
190,Slovenia,1997,-21.6470658327247
191,Solomon Islands,1997,-22.4725057920165
192,Somalia,1997,-21.0383571201318
193,South Africa,1997,-21.0652704101334
194,South Korea,1997,-21.4098810149865
195,South Sudan,1997,
196,Spain,1997,-22.168973239225
197,Sri Lanka,1997,-23.0904161971884
198,State of Palestine,1997,
