,country,year,DMT
0,Afghanistan,1997,
1,Albania,1997,-22.1733129795302
2,Algeria,1997,-23.117037294513
3,American Samoa,1997,
4,Andorra,1997,
5,Angola,1997,-20.5693018944981
6,Anguilla,1997,
7,Antigua and Barbuda,1997,-22.9655864931458
8,Argentina,1997,-22.503261189906
9,Armenia,1997,-22.1234979613114
10,Aruba,1997,
11,Australia,1997,-22.2758610151679
12,Austria,1997,-24.2673035385202
13,Azerbaijan,1997,-21.6175198384142
14,Bahamas,1997,-24.0657437657056
15,Bahrain,1997,-22.8346624264228
16,Bangladesh,1997,-21.8796855358946
17,Barbados,1997,-21.3656829366813
18,Belarus,1997,-22.2180548572041
19,Belgium,1997,-24.3176832356165
20,Belize,1997,-19.2163273068503
21,Benin,1997,-21.8882081916975
22,Bermuda,1997,
23,Bhutan,1997,-21.9328493514174
24,Bolivia,1997,-21.3998334993493
25,Bosnia and Herzegovina,1997,-22.473336156551
26,Botswana,1997,-20.6030078940665
27,Brazil,1997,-22.6791616093931
28,British Virgin Islands,1997,
29,Brunei Darussalam,1997,-21.6828342012103
30,Bulgaria,1997,-22.6258376515191
31,Burkina Faso,1997,-21.0322262174536
32,Burundi,1997,-22.0244864910563
33,Cambodia,1997,-20.6872355364352
34,Cameroon,1997,-21.9620292297488
35,Canada,1997,-23.0884334301589
36,Cape Verde,1997,-23.5101984690625
37,Cayman Islands,1997,
38,Central African Republic,1997,-18.8895526082082
39,Chad,1997,-20.350049488042
40,Chile,1997,-23.6117994346161
41,China,1997,-22.3778975807058
42,Colombia,1997,-22.5710620751623
43,Comoros,1997,-22.27591049284
44,Cook Islands,1997,
45,Costa Rica,1997,-23.0767624604898
46,Cote d'Ivoire,1997,-21.7332027445456
47,Croatia,1997,-23.7269968389777
48,Cuba,1997,-23.066690821914
49,Curacao,1997,
50,Cyprus,1997,-24.53235156273
51,Czech Republic,1997,-23.4776762536317
52,Dem. Rep. Congo,1997,-20.3939702524841
53,Denmark,1997,-24.0446793830106
54,Djibouti,1997,-21.9313132385836
55,Dominica,1997,-22.5430093016682
56,Dominican Republic,1997,-22.888748416825
57,Ecuador,1997,-22.8350671106374
58,Egypt,1997,-23.3471678667759
59,El Salvador,1997,-23.0790965685925
60,Equatorial Guinea,1997,-21.0021246140803
61,Eritrea,1997,-21.4619410778454
62,Estonia,1997,-22.9155444504199
63,Ethiopia,1997,-20.6111216402357
64,Faeroe Islands,1997,
65,Falkland Islands,1997,
66,Fiji,1997,-22.6992450112756
67,Finland,1997,-23.926936790719
68,France,1997,-24.1307405168558
69,French Guiana,1997,
70,French Polynesia,1997,
71,Gabon,1997,-23.6047916625857
72,Gambia,1997,-19.7910865357742
73,Georgia,1997,-21.6299622561725
74,Germany,1997,-24.1979362070381
75,Ghana,1997,-22.4674026953621
76,Gibraltar,1997,
77,Greece,1997,-23.8727792940831
78,Greenland,1997,
79,Grenada,1997,-20.1011403673013
80,Guadeloupe,1997,
81,Guam,1997,
82,Guatemala,1997,-23.0779863486899
83,Guinea,1997,-21.1514255714547
84,Guinea-Bissau,1997,-21.9044694098267
85,Guyana,1997,-21.4725085833804
86,Haiti,1997,-22.2404783955092
87,Holy See,1997,
88,Honduras,1997,-21.8293894698464
89,Hong Kong,1997,
90,Hungary,1997,-23.6549819232226
91,Iceland,1997,-23.6317057718108
92,India,1997,-22.1933251843806
93,Indonesia,1997,-21.9193982428825
94,Iran,1997,-23.0653390003644
95,Iraq,1997,-21.7970293156701
96,Ireland,1997,-22.8712054405686
97,Isle of Man,1997,
98,Israel,1997,-23.5169798335863
99,Italy,1997,-24.4352456324658
100,Jamaica,1997,-23.8450441934275
101,Japan,1997,-25.8064073186945
102,Jordan,1997,-22.4718579943428
103,Kazakhstan,1997,-21.9240753092914
104,Kenya,1997,-22.0049795734065
105,Kiribati,1997,-23.2146691306032
106,Kosovo,1997,
107,Kuwait,1997,-21.1885372175755
108,Kyrgyzstan,1997,-21.8089708864647
109,Laos,1997,-21.2617262378949
110,Latvia,1997,-22.9828670765149
111,Lebanon,1997,-23.9630786218626
112,Lesotho,1997,-21.8453018922784
113,Liberia,1997,-21.503219592487
114,Libya,1997,-21.3934719014837
115,Liechtenstein,1997,
116,Lithuania,1997,-22.9432931525859
117,Luxembourg,1997,-24.7339278732914
118,Macao,1997,
119,Macedonia,1997,-22.7765372803581
120,Madagascar,1997,-20.9942024317705
121,Malawi,1997,-21.4710136700893
122,Malaysia,1997,-22.6647074510678
123,Maldives,1997,
124,Mali,1997,-21.1147589806004
125,Malta,1997,-24.3173929857837
126,Marshall Islands,1997,-22.5184752982476
127,Martinique,1997,
128,Mauritania,1997,-21.289901542102
129,Mauritius,1997,-23.1955149169511
130,Mayotte,1997,
131,Mexico,1997,-22.9822146725622
132,Micronesia,1997,-22.805816967899
133,Moldova,1997,-21.5621673667149
134,Monaco,1997,
