,country,year,DNT
0,Afghanistan,1997,
1,Albania,1997,-23.0731704113478
2,Algeria,1997,-24.9229338149818
3,American Samoa,1997,
4,Andorra,1997,
5,Angola,1997,-21.668134553688
6,Anguilla,1997,
7,Antigua and Barbuda,1997,-25.1509198521403
8,Argentina,1997,-23.3651307308574
9,Armenia,1997,-23.3260009154088
10,Aruba,1997,
11,Australia,1997,-22.8029258380693
12,Austria,1997,-24.7373357860702
13,Azerbaijan,1997,-23.1789541354896
14,Bahamas,1997,-25.6289108223863
15,Bahrain,1997,-27.28299316276
16,Bangladesh,1997,-22.9026167158355
17,Barbados,1997,-24.9137891728676
18,Belarus,1997,-22.3802652708113
19,Belgium,1997,-24.2927911261307
20,Belize,1997,-22.8474435718827
21,Benin,1997,-22.1394809598948
22,Bermuda,1997,
23,Bhutan,1997,-23.2979551336923
24,Bolivia,1997,-22.1930012373463
25,Bosnia and Herzegovina,1997,-23.3760313960634
26,Botswana,1997,-21.4537249259216
27,Brazil,1997,-23.419481611239
28,British Virgin Islands,1997,
29,Brunei Darussalam,1997,-26.4451768284808
30,Bulgaria,1997,-23.5488560956787
31,Burkina Faso,1997,-21.1966562979078
32,Burundi,1997,-22.1339186148054
33,Cambodia,1997,-21.8736831387108
34,Cameroon,1997,-20.0726578226518
35,Canada,1997,-23.6383844634106
36,Cape Verde,1997,-23.5222822517315
37,Cayman Islands,1997,
38,Central African Republic,1997,-18.4752529054551
39,Chad,1997,-20.617469586206
40,Chile,1997,-24.2338591805311
41,China,1997,-23.0655573226551
42,Colombia,1997,-23.5505638967178
43,Comoros,1997,-23.4529736470806
44,Cook Islands,1997,
45,Costa Rica,1997,-23.6243701588771
46,Cote d'Ivoire,1997,-23.2272598167802
47,Croatia,1997,-23.9260381938589
48,Cuba,1997,-23.9518867116015
49,Curacao,1997,
50,Cyprus,1997,-24.8720956225206
51,Czech Republic,1997,-24.2862628707388
52,Dem. Rep. Congo,1997,-21.0759228474646
53,Denmark,1997,-24.1556137958909
54,Djibouti,1997,-22.5298877286919
55,Dominica,1997,-23.9755550246106
56,Dominican Republic,1997,-23.849943067315
57,Ecuador,1997,-23.6780815336039
58,Egypt,1997,-24.2096263612624
59,El Salvador,1997,-23.8357005483018
60,Equatorial Guinea,1997,-26.1992445843163
61,Eritrea,1997,-21.3420645332872
62,Estonia,1997,-22.9100232600102
63,Ethiopia,1997,-21.0664531454301
64,Faeroe Islands,1997,
65,Falkland Islands,1997,
66,Fiji,1997,-23.2229499100668
67,Finland,1997,-23.3216493599313
68,France,1997,-24.1579796498152
69,French Guiana,1997,
70,French Polynesia,1997,
71,Gabon,1997,-24.151691676572
72,Gambia,1997,-22.2459123421766
73,Georgia,1997,-22.8292958209226
74,Germany,1997,-24.5154682872519
75,Ghana,1997,-22.9027025877201
76,Gibraltar,1997,
77,Greece,1997,-24.2297603723381
78,Greenland,1997,
79,Grenada,1997,-25.5455289159383
80,Guadeloupe,1997,
81,Guam,1997,
82,Guatemala,1997,-23.689042698925
83,Guinea,1997,-21.8504355415697
84,Guinea-Bissau,1997,-22.1707371872413
85,Guyana,1997,-22.1360705267521
86,Haiti,1997,-23.0007523500318
87,Holy See,1997,
88,Honduras,1997,-22.8325274943039
89,Hong Kong,1997,
90,Hungary,1997,-23.8501939601128
91,Iceland,1997,-24.1662229479916
92,India,1997,-23.1955580391203
93,Indonesia,1997,-23.2099020499102
94,Iran,1997,-24.1934671989309
95,Iraq,1997,-24.5835456500767
96,Ireland,1997,-23.1801734400143
97,Isle of Man,1997,
98,Israel,1997,-25.4137279944077
99,Italy,1997,-24.893847873705
100,Jamaica,1997,-24.343684026236
101,Japan,1997,-25.7691055146363
102,Jordan,1997,-24.7241106225495
103,Kazakhstan,1997,-23.3926511809156
104,Kenya,1997,-22.5516365200361
105,Kiribati,1997,-24.8510289605891
106,Kosovo,1997,
107,Kuwait,1997,-27.2452003570484
108,Kyrgyzstan,1997,-22.672047416608
109,Laos,1997,-22.2552847265985
110,Latvia,1997,-23.1185143536131
111,Lebanon,1997,-25.0212427772751
112,Lesotho,1997,-22.3082754210424
113,Liberia,1997,-22.6742012709252
