,country,year,DPT
0,Afghanistan,2005,
1,Albania,2005,26.154
2,Algeria,2005,608.8729
3,American Samoa,2005,
4,Andorra,2005,
5,Angola,2005,275.3406
6,Anguilla,2005,
7,Antigua and Barbuda,2005,
8,Argentina,2005,309.8617
9,Armenia,2005,139.0241
10,Aruba,2005,
11,Australia,2005,883.431
12,Austria,2005,222.926
13,Azerbaijan,2005,475.2305
14,Bahamas,2005,
15,Bahrain,2005,772.7122
16,Bangladesh,2005,554.4186
17,Barbados,2005,
18,Belarus,2005,297.5185
19,Belgium,2005,276.13
20,Belize,2005,
21,Benin,2005,716.6075
22,Bermuda,2005,
23,Bhutan,2005,
24,Bolivia,2005,331.0731
25,Bosnia and Herzegovina,2005,796.3737
26,Botswana,2005,1595.2414
27,Brazil,2005,84.6521
28,British Virgin Islands,2005,
29,Brunei Darussalam,2005,804.3272
30,Bulgaria,2005,462.056
31,Burkina Faso,2005,
32,Burundi,2005,
33,Cambodia,2005,801.0415
34,Cameroon,2005,40.8756
35,Canada,2005,200.676
36,Cape Verde,2005,
37,Cayman Islands,2005,
38,Central African Republic,2005,
39,Chad,2005,
40,Chile,2005,319.727
41,China,2005,800.8365
42,Colombia,2005,133.4523
43,Comoros,2005,
44,Cook Islands,2005,
45,Costa Rica,2005,28.2377
46,Cote d'Ivoire,2005,459.7423
47,Croatia,2005,304.4527
48,Cuba,2005,832.2972
49,Curacao,2005,697.7877
50,Cyprus,2005,796.3358
51,Czech Republic,2005,534.048
52,Dem. Rep. Congo,2005,0.8697
53,Denmark,2005,294.404
54,Djibouti,2005,
55,Dominica,2005,
56,Dominican Republic,2005,639.9202
57,Ecuador,2005,347.1004
58,Egypt,2005,478.4111
59,El Salvador,2005,306.2042
60,Equatorial Guinea,2005,
61,Eritrea,2005,984.7083
62,Estonia,2005,720.597
63,Ethiopia,2005,3.3821
64,Faeroe Islands,2005,
65,Falkland Islands,2005,
66,Fiji,2005,
67,Finland,2005,192.082
68,France,2005,94.312
69,French Guiana,2005,
70,French Polynesia,2005,
71,Gabon,2005,381.4149
72,Gambia,2005,
73,Georgia,2005,110.809
74,Germany,2005,465.554
75,Ghana,2005,148.2687
76,Gibraltar,2005,746.9793
77,Greece,2005,789.414
78,Greenland,2005,
79,Grenada,2005,
80,Guadeloupe,2005,
81,Guam,2005,
82,Guatemala,2005,396.2543
83,Guinea,2005,
84,Guinea-Bissau,2005,
85,Guyana,2005,
86,Haiti,2005,310.2608
87,Holy See,2005,
88,Honduras,2005,413.081
89,Hong Kong,2005,768.78
90,Hungary,2005,343.832
91,Iceland,2005,0.449
92,India,2005,784.4979
93,Indonesia,2005,728.5055
94,Iran,2005,545.2507
95,Iraq,2005,795.4448
96,Ireland,2005,590.184
97,Isle of Man,2005,
98,Israel,2005,789.73
