,country,year,GPD
0,Afghanistan,1997,
1,Albania,1997,12803236635.1813
2,Algeria,1997,282761506464.142
3,American Samoa,1997,
4,Andorra,1997,
5,Angola,1997,50789266063.2324
6,Anguilla,1997,
7,Antigua and Barbuda,1997,1313630693.13452
8,Argentina,1997,554687591823.056
9,Armenia,1997,7648432625.56006
10,Aruba,1997,
11,Australia,1997,592605212784.863
12,Austria,1997,280405479836.61
13,Azerbaijan,1997,27343029882.1875
14,Bahamas,1997,6589054572.66598
15,Bahrain,1997,25953426454.9482
16,Bangladesh,1997,186385341419.141
17,Barbados,1997,3584266904.65739
18,Belarus,1997,61585847345.4544
19,Belgium,1997,348932173215.655
20,Belize,1997,1350135251.83253
21,Benin,1997,9869516848.91402
22,Bermuda,1997,2692970077.33757
23,Bhutan,1997,1659196959.50421
24,Bolivia,1997,34032255779.771
25,Bosnia and Herzegovina,1997,17830246349.6296
26,Botswana,1997,15972033644.7243
27,Brazil,1997,1899052599714.69
28,British Virgin Islands,1997,
29,Brunei Darussalam,1997,25942285018.5715
30,Bulgaria,1997,71342063674.4196
31,Burkina Faso,1997,10637442647.8716
32,Burundi,1997,4695119716.14871
33,Cambodia,1997,13082038149.0505
34,Cameroon,1997,33671005670.8961
35,Canada,1997,1002346603446.63
36,Cape Verde,1997,1166700264.28027
37,Cayman Islands,1997,
38,Central African Republic,1997,2908920229.41657
39,Chad,1997,7869631797.74639
40,Chile,1997,210978698198.959
41,China,1997,3709536979812.62
42,Colombia,1997,333682606687.265
43,Comoros,1997,701901087.237698
44,Cook Islands,1997,
45,Costa Rica,1997,33621881299.569
46,Cote d'Ivoire,1997,47102330747.2584
47,Croatia,1997,66553464825.6193
48,Cuba,1997,111409748620.425
49,Curacao,1997,
50,Cyprus,1997,17902745060.889
51,Czech Republic,1997,205541395449.856
52,Dem. Rep. Congo,1997,28417996160.316
53,Denmark,1997,207069575833.124
54,Djibouti,1997,1489062137.72724
55,Dominica,1997,536882353.259234
56,Dominican Republic,1997,56516026765.2304
57,Ecuador,1997,93814610781.1521
58,Egypt,1997,443959823974.579
59,El Salvador,1997,34058045964.2737
60,Equatorial Guinea,1997,3605936325.79047
61,Eritrea,1997,6049391563.0
62,Estonia,1997,19220214254.9944
63,Ethiopia,1997,38198225460.6532
64,Faeroe Islands,1997,
65,Falkland Islands,1997,
66,Fiji,1997,4997176175.26063
67,Finland,1997,155248821218.703
68,France,1997,1910947305793.69
69,French Guiana,1997,
70,French Polynesia,1997,
71,Gabon,1997,23677701100.2219
72,Gambia,1997,1654514583.60982
73,Georgia,1997,13367877781.5643
74,Germany,1997,2822448889452.94
75,Ghana,1997,37744294161.2169
76,Gibraltar,1997,
77,Greece,1997,241188743298.647
78,Greenland,1997,
79,Grenada,1997,820939716.434956
80,Guadeloupe,1997,
81,Guam,1997,
82,Guatemala,1997,62609418216.8605
83,Guinea,1997,9031791486.38744
84,Guinea-Bissau,1997,2208369401.83789
85,Guyana,1997,3405653919.85638
86,Haiti,1997,14046667398.3392
87,Holy See,1997,
88,Honduras,1997,20341012293.4667
89,Hong Kong,1997,218274483377.467
90,Hungary,1997,162668457844.177
91,Iceland,1997,8264269342.28442
92,India,1997,2213184632726.04
93,Indonesia,1997,1336869612456.39
94,Iran,1997,711293330168.086
95,Iraq,1997,178454472964.994
96,Ireland,1997,117767669242.491
97,Isle of Man,1997,
98,Israel,1997,139266108924.152
99,Italy,1997,1943778790156.22
100,Jamaica,1997,21167566847.7264
101,Japan,1997,4238618826685.46
102,Jordan,1997,33247453625.3741
103,Kazakhstan,1997,133893129827.975
104,Kenya,1997,63077943746.5419
105,Kiribati,1997,151974194.009271
106,Kosovo,1997,
107,Kuwait,1997,134526924013.179
108,Kyrgyzstan,1997,9105548496.40211
109,Laos,1997,10594366617.9294
110,Latvia,1997,22927402338.5059
111,Lebanon,1997,38807461960.0628
112,Lesotho,1997,3110986534.6511
113,Liberia,1997,1186611650.6628
114,Libya,1997,113144000000.0
115,Liechtenstein,1997,
116,Lithuania,1997,38666629652.0847
117,Luxembourg,1997,27327261984.2195
118,Macao,1997,16360895271.2866
119,Macedonia,1997,15554823946.1765
120,Madagascar,1997,19980035574.7513
121,Malawi,1997,9059205846.73487
122,Malaysia,1997,353295165775.594
123,Maldives,1997,1485861938.0
124,Mali,1997,14119625965.2905
125,Malta,1997,8173632553.35741
126,Marshall Islands,1997,149164834.804507
127,Martinique,1997,
128,Mauritania,1997,6762203080.19039
129,Mauritius,1997,11079280074.4863
130,Mayotte,1997,
131,Mexico,1997,1349384191320.54
132,Micronesia,1997,311759193.319515
133,Moldova,1997,9160919478.68311
134,Monaco,1997,
135,Mongolia,1997,10358999565.7765
136,Montenegro,1997,6220308261.00082
137,Montserrat,1997,
138,Morocco,1997,118369360776.752
139,Mozambique,1997,8274211304.1758
140,Myanmar,1997,45076192691.994
141,Namibia,1997,10495043687.5858
142,Nauru,1997,
143,Nepal,1997,32000378541.6591
144,Netherlands,1997,580498574514.053
145,Netherlands Antilles,1997,
146,New Caledonia,1997,
147,New Zealand,1997,100010856627.195
148,Nicaragua,1997,15115513378.827
149,Niger,1997,7899454751.7521
150,Nigeria,1997,320611988153.309
151,Niue,1997,
152,Norfolk Island,1997,
153,North Korea,1997,
154,Northern Mariana Islands,1997,
155,Norway,1997,241355255856.218
156,Oman,1997,92284241314.7463
157,Pakistan,1997,436809903655.477
158,Palau,1997,274419186.311624
159,Panama,1997,27960265051.5184
160,Papua New Guinea,1997,10443937218.1036
161,Paraguay,1997,33464886317.7391
162,Peru,1997,163825754422.975
163,Philippines,1997,307868637739.823
164,Pitcairn,1997,
165,Poland,1997,492427092117.632
166,Portugal,1997,236775861281.543
167,Puerto Rico,1997,111919872478.857
168,Qatar,1997,51823739059.0
169,Republic of Congo,1997,13293226706.6389
170,Reunion,1997,
171,Romania,1997,236519022059.477
172,Russia,1997,1858412496492.53
173,Rwanda,1997,5056176864.73566
174,Saint Helena,1997,
175,Saint Kitts and Nevis,1997,805181285.121542
176,Saint Lucia,1997,1370883976.0691
177,Saint Pierre and Miquelon,1997,
178,Saint Vincent and the Grenadines,1997,750152785.629215
179,Samoa,1997,676497830.615033
180,San Marino,1997,
181,Sao Tome and Principe,1997,262299430.9
182,Saudi Arabia,1997,706391415799.224
183,Senegal,1997,16222619058.587
184,Serbia,1997,61891221464.1563
185,Seychelles,1997,1335461110.02699
186,Sierra Leone,1997,3915151060.96964
187,Singapore,1997,184115799738.739
188,Sint Maarten,1997,
189,Slovakia,1997,80045980799.3515
190,Slovenia,1997,39906707659.8815
191,Solomon Islands,1997,821684949.120169
192,Somalia,1997,
193,South Africa,1997,406858468963.814
194,South Korea,1997,858743906646.25
195,South Sudan,1997,
196,Spain,1997,1059453002569.95
197,Sri Lanka,1997,89922234371.1768
198,State of Palestine,1997,9178728423.96431
199,Sudan,1997,67879729978.1642
200,Suriname,1997,4594740350.581
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,5926112278.87525
203,Sweden,1997,286554844858.768
204,Switzerland,1997,332337499603.063
205,Syria,1997,
206,Taiwan,1997,512710000000.0
207,Tajikistan,1997,6201880974.35865
208,Tanzania,1997,43121940270.3179
209,Thailand,1997,573425064843.98
210,Timor-Leste,1997,
211,Togo,1997,6389258014.63462
212,Tokelau,1997,
213,Tonga,1997,409193168.805514
214,Trinidad and Tobago,1997,18495722246.2221
215,Tunisia,1997,63131455620.3884
216,Turkey,1997,800223647699.054
217,Turkmenistan,1997,18302267308.4614
218,Turks and Caicos Islands,1997,
219,Tuvalu,1997,25634077.9572211
220,Uganda,1997,21899098686.2347
221,Ukraine,1997,227541435812.515
222,United Arab Emirates,1997,285826009787.23
223,United Kingdom,1997,1755614682070.6
224,United States of America,1997,11400235991240.1
225,United States Virgin Islands,1997,
226,Uruguay,1997,42541575183.0064
227,Uzbekistan,1997,54655376594.4177
228,Vanuatu,1997,471291296.642901
229,Venezuela,1997,360954162379.544
230,Viet Nam,1997,173829422209.232
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,59584971678.2798
234,Zambia,1997,20447897511.2511
235,Zimbabwe,1997,31860223106.5213
236,Afghanistan,1998,
237,Albania,1998,13956661343.9337
238,Algeria,1998,297182353497.983
239,American Samoa,1998,
240,Andorra,1998,
241,Angola,1998,54245354799.5022
242,Anguilla,1998,
243,Antigua and Barbuda,1998,1371531251.06693
244,Argentina,1998,576044056175.667
245,Armenia,1998,8206768207.22595
246,Aruba,1998,
247,Australia,1998,618906474696.507
248,Austria,1998,290387822157.043
249,Azerbaijan,1998,30077332946.4722
250,Bahamas,1998,6899825606.88833
251,Bahrain,1998,27196596305.8658
252,Bangladesh,1998,196034560632.586
253,Barbados,1998,3718334903.38122
254,Belarus,1998,66759058522.4725
255,Belgium,1998,355825368783.421
256,Belize,1998,1400643225.67656
257,Benin,1998,10260449609.263
258,Bermuda,1998,2797995910.35374
259,Bhutan,1998,1757322379.29636
260,Bolivia,1998,35743858654.2112
261,Bosnia and Herzegovina,1998,20611764131.7866
262,Botswana,1998,16087350634.3742
263,Brazil,1998,1905478161533.41
264,British Virgin Islands,1998,
265,Brunei Darussalam,1998,25797395100.3918
266,Bulgaria,1998,73839035783.6031
267,Burkina Faso,1998,11414797132.7147
268,Burundi,1998,4918137902.2932
269,Cambodia,1998,13737321724.289
270,Cameroon,1998,35319322454.5225
271,Canada,1998,1041255284378.71
272,Cape Verde,1998,1312739469.24617
273,Cayman Islands,1998,
274,Central African Republic,1998,3045643621.88467
275,Chad,1998,8416695541.06809
276,Chile,1998,217795164038.794
277,China,1998,4000276166465.71
278,Colombia,1998,335583877090.772
279,Comoros,1998,710904109.096025
280,Cook Islands,1998,
281,Costa Rica,1998,35962535840.119
282,Cote d'Ivoire,1998,49424795773.5775
283,Croatia,1998,67792611081.3869
284,Cuba,1998,111587052834.846
285,Curacao,1998,
286,Cyprus,1998,18840052901.2484
287,Czech Republic,1998,204891817492.446
288,Dem. Rep. Congo,1998,27956444126.23
289,Denmark,1998,211662714245.895
290,Djibouti,1998,1490541946.32815
291,Dominica,1998,563608824.723744
292,Dominican Republic,1998,60478138053.8558
293,Ecuador,1998,96879092627.3289
294,Egypt,1998,461879672095.042
295,El Salvador,1998,35334788843.2664
296,Equatorial Guinea,1998,4463229020.45053
297,Eritrea,1998,6526818083.0
298,Estonia,1998,20011563798.2483
299,Ethiopia,1998,36877277672.0082
300,Faeroe Islands,1998,
301,Falkland Islands,1998,
302,Fiji,1998,5062139582.34125
303,Finland,1998,163676522988.61
304,France,1998,1978904437812.86
