,country,year,population
0,Afghanistan,1997,18381605.0
1,Albania,1997,3148281.0
2,Algeria,1997,29886839.0
3,American Samoa,1997,54941.0
4,Andorra,1997,64327.0
5,Angola,1997,15088981.0
6,Anguilla,1997,
7,Antigua and Barbuda,1997,77739.0
8,Argentina,1997,35833969.0
9,Armenia,1997,3133086.0
10,Aruba,1997,85451.0
11,Australia,1997,18517000.0
12,Austria,1997,7968041.0
13,Azerbaijan,1997,7838250.0
14,Bahamas,1997,286970.0
15,Bahrain,1997,594930.0
16,Bangladesh,1997,123854640.0
17,Barbados,1997,266945.0
18,Belarus,1997,10117000.0
19,Belgium,1997,10181245.0
20,Belize,1997,221606.0
21,Benin,1997,6281639.0
22,Bermuda,1997,60497.0
23,Bhutan,1997,528754.0
24,Bolivia,1997,7870855.0
25,Bosnia and Herzegovina,1997,3752431.0
26,Botswana,1997,1637635.0
27,Brazil,1997,167545164.0
28,British Virgin Islands,1997,19270.0
29,Brunei Darussalam,1997,312038.0
30,Bulgaria,1997,8312068.0
31,Burkina Faso,1997,10665546.0
32,Burundi,1997,6112097.0
33,Cambodia,1997,11295880.0
34,Cameroon,1997,14165423.0
35,Canada,1997,29987200.0
36,Cape Verde,1997,408175.0
37,Cayman Islands,1997,35597.0
38,Central African Republic,1997,3517309.0
39,Chad,1997,7493251.0
40,Chile,1997,14694835.0
41,China,1997,1230075000.0
42,Colombia,1997,38645411.0
43,Comoros,1997,501953.0
44,Cook Islands,1997,
45,Costa Rica,1997,3682725.0
46,Cote d'Ivoire,1997,15445986.0
47,Croatia,1997,4572000.0
48,Cuba,1997,11013983.0
49,Curacao,1997,146956.0
50,Cyprus,1997,891192.0
51,Czech Republic,1997,10304131.0
52,Dem. Rep. Congo,1997,43830146.0
53,Denmark,1997,5284991.0
54,Djibouti,1997,660953.0
55,Dominica,1997,70753.0
56,Dominican Republic,1997,8163472.0
57,Ecuador,1997,11924993.0
58,Egypt,1997,66151117.0
59,El Salvador,1997,5727755.0
60,Equatorial Guinea,1997,544636.0
61,Eritrea,1997,3583000.0
62,Estonia,1997,1399535.0
63,Ethiopia,1997,60976450.0
64,Faeroe Islands,1997,46251.0
65,Falkland Islands,1997,
66,Fiji,1997,792860.0
67,Finland,1997,5139835.0
68,France,1997,59964845.0
69,French Guiana,1997,
70,French Polynesia,1997,223731.0
71,Gabon,1997,1142324.0
72,Gambia,1997,1128169.0
73,Georgia,1997,4531600.0
74,Germany,1997,82034771.0
75,Ghana,1997,17608812.0
76,Gibraltar,1997,30594.0
77,Greece,1997,10661259.0
78,Greenland,1997,56000.0
79,Grenada,1997,101122.0
80,Guadeloupe,1997,
81,Guam,1997,150303.0
82,Guatemala,1997,10887634.0
83,Guinea,1997,8337988.0
84,Guinea-Bissau,1997,1179727.0
85,Guyana,1997,760510.0
86,Haiti,1997,8111951.0
87,Holy See,1997,
88,Honduras,1997,6028882.0
89,Hong Kong,1997,6489300.0
90,Hungary,1997,10290486.0
91,Iceland,1997,271128.0
92,India,1997,997405318.0
93,Indonesia,1997,202826465.0
94,Iran,1997,62710557.0
95,Iraq,1997,21509291.0
96,Ireland,1997,3674171.0
97,Isle of Man,1997,70869.0
98,Israel,1997,5836000.0
99,Italy,1997,56890372.0
100,Jamaica,1997,2586827.0
101,Japan,1997,126057000.0
102,Jordan,1997,4832267.0
103,Kazakhstan,1997,15333703.0
104,Kenya,1997,28954114.0
105,Kiribati,1997,80184.0
106,Kosovo,1997,2086000.0
107,Kuwait,1997,1715314.0
108,Kyrgyzstan,1997,4696400.0
109,Laos,1997,5056519.0
110,Latvia,1997,2432851.0
111,Lebanon,1997,3092670.0
112,Lesotho,1997,1810453.0
113,Liberia,1997,2358469.0
114,Libya,1997,5117269.0
115,Liechtenstein,1997,31838.0
116,Lithuania,1997,3575137.0
117,Luxembourg,1997,419450.0
118,Macao,1997,401564.0
119,Macedonia,1997,1999599.0
120,Madagascar,1997,14347854.0
121,Malawi,1997,10381862.0
122,Malaysia,1997,21565325.0
123,Maldives,1997,264000.0
124,Mali,1997,10114094.0
125,Malta,1997,382791.0
126,Marshall Islands,1997,51692.0
127,Martinique,1997,
128,Mauritania,1997,2471598.0
129,Mauritius,1997,1148284.0
130,Mayotte,1997,
131,Mexico,1997,97281739.0
132,Micronesia,1997,108502.0
133,Moldova,1997,3654208.0
134,Monaco,1997,31251.0
135,Mongolia,1997,2335695.0
136,Montenegro,1997,609520.0
137,Montserrat,1997,
138,Morocco,1997,27825901.0
139,Mozambique,1997,16701351.0
140,Myanmar,1997,44371525.0
141,Namibia,1997,1758994.0
142,Nauru,1997,10056.0
143,Nepal,1997,22389803.0
144,Netherlands,1997,15610650.0
145,Netherlands Antilles,1997,
146,New Caledonia,1997,201418.0
147,New Zealand,1997,3781300.0
148,Nicaragua,1997,4786640.0
149,Niger,1997,10180061.0
150,Nigeria,1997,113522705.0
151,Niue,1997,
152,Norfolk Island,1997,
153,North Korea,1997,22335638.0
